IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2750000000 9.794850e+03 
2.751333e+09 9.789270e+03 
2.752667e+09 9.788465e+03 
2754000000 9.797485e+03 
2.755333e+09 9.800255e+03 
2.756667e+09 9.799705e+03 
2758000000 9.808185e+03 
2.759333e+09 9.790740e+03 
2.760667e+09 9.775640e+03 
2762000000 9.802775e+03 
2.763333e+09 9.793505e+03 
2.764667e+09 9.787710e+03 
2766000000 9.796855e+03 
2.767333e+09 9.798815e+03 
2.768667e+09 9.799225e+03 
2770000000 9.799515e+03 
2.771333e+09 9.805195e+03 
2.772667e+09 9.789890e+03 
2774000000 9.788450e+03 
2.775333e+09 9.801990e+03 
2.776667e+09 9.788225e+03 
2778000000 9.794455e+03 
2.779333e+09 9.788840e+03 
2.780667e+09 9.790225e+03 
2782000000 9.794930e+03 
2.783333e+09 9.794270e+03 
2.784667e+09 9.787425e+03 
2786000000 9.782105e+03 
2.787333e+09 9.791370e+03 
2.788667e+09 9.792690e+03 
2790000000 9.788160e+03 
2.791333e+09 9.802845e+03 
2.792667e+09 9.792655e+03 
2794000000 9.798380e+03 
2.795333e+09 9.791225e+03 
2.796667e+09 9.796935e+03 
2798000000 9.803320e+03 
2.799333e+09 9.789770e+03 
2.800667e+09 9.794150e+03 
2802000000 9.794970e+03 
2.803333e+09 9.789805e+03 
2.804667e+09 9.784405e+03 
2806000000 9.789080e+03 
2.807333e+09 9.785135e+03 
2.808667e+09 9.772660e+03 
2810000000 9771 
2.811333e+09 9.762755e+03 
2.812667e+09 9.757300e+03 
2814000000 9.760475e+03 
2.815333e+09 9.767450e+03 
2.816667e+09 9.769440e+03 
2818000000 9.744450e+03 
2.819333e+09 9.746290e+03 
2.820667e+09 9.744665e+03 
2822000000 9.746430e+03 
2.823333e+09 9.742940e+03 
2.824667e+09 9.733060e+03 
2826000000 9.738765e+03 
2.827333e+09 9.749200e+03 
2.828667e+09 9.744350e+03 
2830000000 9.739795e+03 
2.831333e+09 9.738270e+03 
2.832667e+09 9.741740e+03 
2834000000 9.746250e+03 
2.835333e+09 9.746825e+03 
2.836667e+09 9.763870e+03 
2838000000 9.771910e+03 
2.839333e+09 9.777930e+03 
2.840667e+09 9.789415e+03 
2842000000 9.783790e+03 
2.843333e+09 9.788445e+03 
2.844667e+09 9.798510e+03 
2846000000 9.785405e+03 
2.847333e+09 9.797765e+03 
2.848667e+09 9.792635e+03 
2850000000 9.802895e+03 
2.851333e+09 9.795100e+03 
2.852667e+09 9.795880e+03 
2854000000 9.789085e+03 
2.855333e+09 9.790405e+03 
2.856667e+09 9.785145e+03 
2858000000 9.796270e+03 
2.859333e+09 9.788205e+03 
2.860667e+09 9.797945e+03 
2862000000 9.795165e+03 
2.863333e+09 9.798370e+03 
2.864667e+09 9.804580e+03 
2866000000 9.795860e+03 
2.867333e+09 9.796750e+03 
2.868667e+09 9.791605e+03 
2870000000 9.797150e+03 
2.871333e+09 9.805150e+03 
2.872667e+09 9.797185e+03 
2874000000 9.795030e+03 
2.875333e+09 9.802875e+03 
2.876667e+09 9.791415e+03 
2878000000 9.796885e+03 
2.879333e+09 9.797835e+03 
2.880667e+09 9.784925e+03 
2882000000 9.792695e+03 
2.883333e+09 9.804715e+03 
2.884667e+09 9.805190e+03 
2886000000 9.796575e+03 
2.887333e+09 9.805025e+03 
2.888667e+09 9.792430e+03 
2890000000 9.798580e+03 
2.891333e+09 9.807175e+03 
2.892667e+09 9.798060e+03 
2894000000 9.797670e+03 
2.895333e+09 9.805370e+03 
2.896667e+09 9.806025e+03 
2898000000 9.796425e+03 
2.899333e+09 9.809155e+03 
2.900667e+09 9.798825e+03 
2902000000 9.806040e+03 
2.903333e+09 9.796475e+03 
2.904667e+09 9.790715e+03 
2906000000 9.806240e+03 
2.907333e+09 9.791455e+03 
2.908667e+09 9.796705e+03 
2910000000 9.786990e+03 
2.911333e+09 9.800660e+03 
2.912667e+09 9.807130e+03 
2914000000 9.788125e+03 
2.915333e+09 9.793420e+03 
2.916667e+09 9.796990e+03 
2918000000 9.807065e+03 
2.919333e+09 9.794595e+03 
2.920667e+09 9.793170e+03 
2922000000 9.794755e+03 
2.923333e+09 9.794415e+03 
2.924667e+09 9.802655e+03 
2926000000 9.794440e+03 
2.927333e+09 9.803060e+03 
2.928667e+09 9.799190e+03 
2930000000 9.797835e+03 
2.931333e+09 9.803565e+03 
2.932667e+09 9.794960e+03 
2934000000 9.798740e+03 
2.935333e+09 9.793220e+03 
2.936667e+09 9.786620e+03 
2938000000 9.785250e+03 
2.939333e+09 9.793510e+03 
2.940667e+09 9.800895e+03 
2942000000 9.796275e+03 
2.943333e+09 9.802600e+03 
2.944667e+09 9.796545e+03 
2946000000 9.799925e+03 
2.947333e+09 9.807495e+03 
2.948667e+09 9.811400e+03 
2950000000 9.791775e+03 

END
X//SEQUENCE PARAMETERS
X//meas
X//SPCM
X//meas2
X//PD0 not connected
X//bGo
X//0
X//bExp
X//0
X//bTomo
X//false
X//m
X//200
X//name
X//ESR
X//From
X//2.75
X//To
X//2.95
X//bSweep1log
X//0
X//N
X//151
X//From2
X//0
X//bSweep2log
X//0
X//bSweep2
X//0
X//To2
X//200
X//N2
X//21
X//From3
X//0
X//bSweep3log
X//0
X//bSweep3
X//0
X//To3
X//200
X//N3
X//21
X//pi
X//200
X//halfpi
X//100
X//interval
X//5000
X//readout
X//10000
X//misc
X//10
X//CtrGateDur
X//400
X//bWarmUpAOM
X//0
X//bTrack
X//0
X//saveRaw
X//0
X//post_init_wait
X//5000
X//post_MW_wait
X//1000
X//P1Pulse
X//0
X//TrackPointN
X//13
X//DEERpi
X//200
X//DEERt
X//5000
X//bAAR
X//1
X//Repeat
X//60000
X//Average
X//5
X//bCust
X//0
X//measPD
X//0
X//ctrN
X//1
X//bAutoRun
X//true
X//bRaman
X//0
X//NSweepParam
X//151
X//bGoAfterAvg
X//1
X//bRandom
X//0
X//dataN
X//1
X//refCounts
X//0
X//bCtr
X//0
X//iAverage
X//5
X//bLiO
X//1
