IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2750000000 1.015515e+04 
2.751333e+09 1.015954e+04 
2.752667e+09 1.015520e+04 
2754000000 1.014923e+04 
2.755333e+09 1.014864e+04 
2.756667e+09 1.014474e+04 
2758000000 1.014447e+04 
2.759333e+09 1.014970e+04 
2.760667e+09 1.015400e+04 
2762000000 1.014849e+04 
2.763333e+09 1.015253e+04 
2.764667e+09 1.014472e+04 
2766000000 1.015169e+04 
2.767333e+09 1.015171e+04 
2.768667e+09 1.014462e+04 
2770000000 1.015391e+04 
2.771333e+09 1.014693e+04 
2.772667e+09 1.014478e+04 
2774000000 1.014664e+04 
2.775333e+09 1.015466e+04 
2.776667e+09 1.015144e+04 
2778000000 1.014426e+04 
2.779333e+09 1.015165e+04 
2.780667e+09 1.014799e+04 
2782000000 1.015667e+04 
2.783333e+09 1.014687e+04 
2.784667e+09 1.015233e+04 
2786000000 1.014761e+04 
2.787333e+09 1.015386e+04 
2.788667e+09 1.013987e+04 
2790000000 1.014906e+04 
2.791333e+09 1.015218e+04 
2.792667e+09 1.014866e+04 
2794000000 1.014881e+04 
2.795333e+09 1.014840e+04 
2.796667e+09 1.014785e+04 
2798000000 1.014502e+04 
2.799333e+09 1.014243e+04 
2.800667e+09 1.013729e+04 
2802000000 1.014016e+04 
2.803333e+09 1.012926e+04 
2.804667e+09 1.012981e+04 
2806000000 1.013083e+04 
2.807333e+09 1.013228e+04 
2.808667e+09 1.012484e+04 
2810000000 1.012341e+04 
2.811333e+09 1.013378e+04 
2.812667e+09 1.012784e+04 
2814000000 1.013810e+04 
2.815333e+09 1.013299e+04 
2.816667e+09 1.012702e+04 
2818000000 1.012595e+04 
2.819333e+09 1.011814e+04 
2.820667e+09 1.011257e+04 
2822000000 1.010081e+04 
2.823333e+09 1.009583e+04 
2.824667e+09 1.009041e+04 
2826000000 1.008363e+04 
2.827333e+09 1.007799e+04 
2.828667e+09 1.007338e+04 
2830000000 1.008547e+04 
2.831333e+09 1.008913e+04 
2.832667e+09 1.009323e+04 
2834000000 1.009981e+04 
2.835333e+09 1.010139e+04 
2.836667e+09 1.011478e+04 
2838000000 1.011443e+04 
2.839333e+09 1.012089e+04 
2.840667e+09 1.012916e+04 
2842000000 1.013691e+04 
2.843333e+09 1.013589e+04 
2.844667e+09 1.013869e+04 
2846000000 1.014328e+04 
2.847333e+09 1.014069e+04 
2.848667e+09 1.014132e+04 
2850000000 1.015094e+04 
2.851333e+09 1.014904e+04 
2.852667e+09 1.014815e+04 
2854000000 1.014581e+04 
2.855333e+09 1.015140e+04 
2.856667e+09 1.015218e+04 
2858000000 1.015354e+04 
2.859333e+09 1.014814e+04 
2.860667e+09 1.014535e+04 
2862000000 1.014959e+04 
2.863333e+09 1.014679e+04 
2.864667e+09 1.015470e+04 
2866000000 1.014159e+04 
2.867333e+09 1.015769e+04 
2.868667e+09 1.014725e+04 
2870000000 1.014184e+04 
2.871333e+09 1.015300e+04 
2.872667e+09 1.015031e+04 
2874000000 1.014995e+04 
2.875333e+09 1.014597e+04 
2.876667e+09 1.014410e+04 
2878000000 1.015332e+04 
2.879333e+09 1.014932e+04 
2.880667e+09 1.015021e+04 
2882000000 1.015012e+04 
2.883333e+09 1.015245e+04 
2.884667e+09 1.015090e+04 
2886000000 1.014556e+04 
2.887333e+09 1.014324e+04 
2.888667e+09 1.013947e+04 
2890000000 1.014428e+04 
2.891333e+09 1.014765e+04 
2.892667e+09 1.014853e+04 
2894000000 1.015106e+04 
2.895333e+09 1.015216e+04 
2.896667e+09 1.015080e+04 
2898000000 1.015051e+04 
2.899333e+09 1.015191e+04 
2.900667e+09 1.014983e+04 
2902000000 1.014768e+04 
2.903333e+09 1.015031e+04 
2.904667e+09 1.015426e+04 
2906000000 1.015220e+04 
2.907333e+09 1.014867e+04 
2.908667e+09 1.014979e+04 
2910000000 1.014758e+04 
2.911333e+09 1.013948e+04 
2.912667e+09 1.014774e+04 
2914000000 1.014726e+04 
2.915333e+09 1.015628e+04 
2.916667e+09 1.015175e+04 
2918000000 1.015111e+04 
2.919333e+09 1.015485e+04 
2.920667e+09 1.015166e+04 
2922000000 1.015513e+04 
2.923333e+09 1.014745e+04 
2.924667e+09 1.015192e+04 
2926000000 1.014608e+04 
2.927333e+09 1.014863e+04 
2.928667e+09 1.015019e+04 
2930000000 1.015219e+04 
2.931333e+09 1.015245e+04 
2.932667e+09 1.015602e+04 
2934000000 1.014825e+04 
2.935333e+09 1.015446e+04 
2.936667e+09 1.014884e+04 
2938000000 1.014638e+04 
2.939333e+09 1.014479e+04 
2.940667e+09 1.015635e+04 
2942000000 1.015171e+04 
2.943333e+09 1.013957e+04 
2.944667e+09 1.015202e+04 
2946000000 1.014947e+04 
2.947333e+09 1.014745e+04 
2.948667e+09 1.015494e+04 
2950000000 1.014938e+04 

END
X//SEQUENCE PARAMETERS
X//meas
X//SPCM
X//meas2
X//PD0 not connected
X//bGo
X//0
X//bExp
X//0
X//bTomo
X//false
X//m
X//200
X//name
X//ESR
X//From
X//2.75
X//To
X//2.95
X//bSweep1log
X//0
X//N
X//151
X//From2
X//0
X//bSweep2log
X//0
X//bSweep2
X//0
X//To2
X//200
X//N2
X//21
X//From3
X//0
X//bSweep3log
X//0
X//bSweep3
X//0
X//To3
X//200
X//N3
X//21
X//pi
X//200
X//halfpi
X//100
X//interval
X//5000
X//readout
X//10000
X//misc
X//20
X//CtrGateDur
X//400
X//bWarmUpAOM
X//0
X//bTrack
X//0
X//saveRaw
X//0
X//post_init_wait
X//5000
X//post_MW_wait
X//1000
X//P1Pulse
X//0
X//TrackPointN
X//13
X//DEERpi
X//200
X//DEERt
X//5000
X//bAAR
X//1
X//Repeat
X//60000
X//Average
X//5
X//bCust
X//0
X//measPD
X//0
X//ctrN
X//1
X//bAutoRun
X//true
X//bRaman
X//0
X//NSweepParam
X//151
X//bGoAfterAvg
X//1
X//bRandom
X//0
X//dataN
X//1
X//refCounts
X//0
X//bCtr
X//0
X//iAverage
X//5
X//bLiO
X//1
