campaignId,jobId,attemptIdx,B_set,T_set,startedAt,endedAt,outcome,errorMessage,runFolder
"20260218_105449_7093","job_20260218_105452_2760","1","0","0","2026-02-18 10:59:29.045","2026-02-18 10:59:29.479","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_001_job_20260218_105452_2760\Attempt_001"
"20260218_105449_7093","job_20260218_105453_6797","1","0","0","2026-02-18 10:59:29.527","2026-02-18 10:59:29.968","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_002_job_20260218_105453_6797\Attempt_001"
"20260218_105449_7093","job_20260218_105453_6550","1","0","0","2026-02-18 10:59:30.002","2026-02-18 10:59:30.443","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_003_job_20260218_105453_6550\Attempt_001"
"20260218_105449_7093","job_20260218_105453_1626","1","0","0","2026-02-18 10:59:30.480","2026-02-18 10:59:30.918","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_004_job_20260218_105453_1626\Attempt_001"
"20260218_105449_7093","job_20260218_105454_3403","1","0","0","2026-02-18 10:59:30.960","2026-02-18 10:59:31.409","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_005_job_20260218_105454_3403\Attempt_001"
"20260218_105449_7093","job_20260218_105455_7512","1","0","0","2026-02-18 10:59:31.445","2026-02-18 10:59:31.883","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_008_job_20260218_105455_7512\Attempt_001"
"20260218_105449_7093","job_20260218_105454_9597","1","0","0","2026-02-18 10:59:31.912","2026-02-18 10:59:32.345","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_009_job_20260218_105454_9597\Attempt_001"
"20260218_105449_7093","job_20260218_105454_4983","1","0","0","2026-02-18 11:00:13.773","2026-02-18 11:00:14.202","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_006_job_20260218_105454_4983\Attempt_001"
"20260218_105449_7093","job_20260218_105455_2238","1","0","0","2026-02-18 11:00:14.246","2026-02-18 11:00:14.679","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_007_job_20260218_105455_2238\Attempt_001"
"20260218_105449_7093","job_20260218_110125_2550","1","0","0","2026-02-18 11:01:31.372","2026-02-18 11:01:31.805","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_001_job_20260218_110125_2550\Attempt_001"
"20260218_105449_7093","job_20260218_110125_5059","1","0","0","2026-02-18 11:01:31.847","2026-02-18 11:01:32.274","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_001_job_20260218_110125_5059\Attempt_001"
"20260218_105449_7093","job_20260218_110125_6990","1","0","0","2026-02-18 11:01:32.323","2026-02-18 11:01:32.748","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_001_job_20260218_110125_6990\Attempt_001"
"20260218_105449_7093","job_20260218_110125_8909","1","0","0","2026-02-18 11:01:32.816","2026-02-18 11:01:33.253","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260218_105928_20260218_105449_7093\Runs\Job_001_job_20260218_110125_8909\Attempt_001"
