campaignId,jobId,attemptIdx,B_set,T_set,startedAt,endedAt,outcome,errorMessage,runFolder
"20260217_172501_8147","job_20260217_172533_1269","1","0","4","2026-02-17 17:26:02.391","2026-02-17 17:26:02.843","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172533_1269\Attempt_001"
"20260217_172501_8147","job_20260217_172535_9133","1","10","4","2026-02-17 17:26:02.877","2026-02-17 17:26:03.320","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172535_9133\Attempt_001"
"20260217_172501_8147","job_20260217_172539_6323","1","100","4","2026-02-17 17:26:03.352","2026-02-17 17:26:03.788","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172539_6323\Attempt_001"
"20260217_172501_8147","job_20260217_172908_0975","1","0","0","2026-02-17 17:29:14.340","2026-02-17 17:29:14.771","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172908_0975\Attempt_001"
"20260217_172501_8147","job_20260217_172909_2784","1","0","0","2026-02-17 17:29:14.795","2026-02-17 17:29:15.235","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172909_2784\Attempt_001"
"20260217_172501_8147","job_20260217_172909_5468","1","0","0","2026-02-17 17:29:15.266","2026-02-17 17:29:15.680","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172909_5468\Attempt_001"
"20260217_172501_8147","job_20260217_172910_9575","1","0","0","2026-02-17 17:29:15.709","2026-02-17 17:29:16.150","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260217_172910_9575\Attempt_001"
"20260217_172501_8147","job_20260217_172909_2784","2","0","0","2026-02-17 17:29:48.337","2026-02-17 17:29:48.765","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_003_job_20260217_172909_2784\Attempt_002"
"20260217_172501_8147","job_20260217_172910_9575","2","0","0","2026-02-17 17:29:48.796","2026-02-17 17:29:49.228","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_004_job_20260217_172910_9575\Attempt_002"
"20260217_172501_8147","job_20260218_103702_9648","1","0","0","2026-02-18 10:37:18.751","2026-02-18 10:37:19.183","success","","C:\MATLAB_Code\AutoRunSequences_v3_1\AutoRunSequences_v3_1_Saves\Queue_20260217_172602_20260217_172501_8147\Runs\Job_001_job_20260218_103702_9648\Attempt_001"
