IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.119825e+03 
2.572150e+09 8.096425e+03 
2574300000 8127 
2576450000 8.140950e+03 
2578600000 8.132400e+03 
2.580750e+09 8.119750e+03 
2582900000 8.107275e+03 
2585050000 8.122850e+03 
2.587200e+09 8.143200e+03 
2589350000 8.107800e+03 
2591500000 8.130500e+03 
2593650000 8.123625e+03 
2.595800e+09 8.106500e+03 
2597950000 8.113025e+03 
2600100000 8.106925e+03 
2.602250e+09 8.133900e+03 
2604400000 8.126900e+03 
2606550000 8.113225e+03 
2608700000 8.107600e+03 
2.610850e+09 8.134150e+03 
2613000000 8.128950e+03 
2615150000 8.105425e+03 
2.617300e+09 8.125775e+03 
2619450000 8.118125e+03 
2621600000 8.104300e+03 
2623750000 8.087450e+03 
2.625900e+09 8.101275e+03 
2628050000 8.091900e+03 
2630200000 8.106375e+03 
2.632350e+09 8.071450e+03 
2634500000 8.106350e+03 
2636650000 8.087550e+03 
2638800000 8.079850e+03 
2.640950e+09 8.107400e+03 
2643100000 8.135500e+03 
2645250000 8.148400e+03 
2.647400e+09 8.144575e+03 
2649550000 8.127875e+03 
2651700000 8.133825e+03 
2653850000 8.140925e+03 
2.656000e+09 8.133075e+03 
2658150000 8.144275e+03 
2660300000 8.128575e+03 
2.662450e+09 8.117425e+03 
2664600000 8.058625e+03 
2666750000 8.054125e+03 
2668900000 8.052150e+03 
2.671050e+09 8.072125e+03 
2673200000 8067 
2675350000 8091 
2677500000 8.084025e+03 
2679650000 8.109975e+03 
2681800000 8.145500e+03 
2683950000 8.134575e+03 
2.686100e+09 8.149925e+03 
2688250000 8.146275e+03 
2690400000 8.146550e+03 
2692550000 8.134525e+03 
2694700000 8.146900e+03 
2696850000 8.129950e+03 
2699000000 8.096975e+03 
2.701150e+09 8.081225e+03 
2703300000 8.090475e+03 
2705450000 8.079575e+03 
2707600000 8.096625e+03 
2.709750e+09 8.077175e+03 
2711900000 8.115525e+03 
2714050000 8.120250e+03 
2.716200e+09 8.133375e+03 
2718350000 8.129400e+03 
2720500000 8.147775e+03 
2722650000 8.145650e+03 
2724800000 8.144200e+03 
2726950000 8.141325e+03 
2729100000 8.141175e+03 
2.731250e+09 8.120575e+03 
2733400000 8.113125e+03 
2735550000 8.131750e+03 
2737700000 8.106975e+03 
2.739850e+09 8.105500e+03 
2742000000 8138 
2744150000 8.127600e+03 
2.746300e+09 8.153325e+03 
2748450000 8.118775e+03 
2750600000 8.128075e+03 
2752750000 8.115675e+03 
2754900000 8.134650e+03 
2757050000 8.136775e+03 
2759200000 8.154925e+03 
2.761350e+09 8128 
2763500000 8.137125e+03 
2765650000 8.153625e+03 
2767800000 8.128925e+03 
2.769950e+09 8.138950e+03 
2772100000 8.135850e+03 
2774250000 8.169375e+03 
2.776400e+09 8.158900e+03 
2778550000 8.146900e+03 
2780700000 8.164075e+03 
2782850000 8.137450e+03 
2785000000 8.145425e+03 
2787150000 8.141475e+03 
2789300000 8.148800e+03 
2791450000 8.142450e+03 
2793600000 8.141725e+03 
2795750000 8.150325e+03 
2797900000 8.179300e+03 
2.800050e+09 8.138475e+03 
2802200000 8.171700e+03 
2804350000 8.138850e+03 
2806500000 8.157125e+03 
2808650000 8.138575e+03 
2810800000 8.177175e+03 
2812950000 8.143900e+03 
2815100000 8.133875e+03 
2817250000 8.150450e+03 
