IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.244950e+03 
2.572150e+09 8.231550e+03 
2574300000 8.233350e+03 
2576450000 8.243175e+03 
2578600000 8.243050e+03 
2.580750e+09 8.255750e+03 
2582900000 8.238250e+03 
2585050000 8.237025e+03 
2.587200e+09 8.231100e+03 
2589350000 8.214700e+03 
2591500000 8.239950e+03 
2593650000 8.218825e+03 
2.595800e+09 8.228750e+03 
2597950000 8.230525e+03 
2600100000 8.219975e+03 
2.602250e+09 8.231300e+03 
2604400000 8.230325e+03 
2606550000 8.232875e+03 
2608700000 8.227600e+03 
2.610850e+09 8.233925e+03 
2613000000 8.241050e+03 
2615150000 8.246525e+03 
2.617300e+09 8.237600e+03 
2619450000 8.209225e+03 
2621600000 8.217300e+03 
2623750000 8.199850e+03 
2.625900e+09 8.195250e+03 
2628050000 8.210975e+03 
2630200000 8.192325e+03 
2.632350e+09 8.197575e+03 
2634500000 8.201100e+03 
2636650000 8.183100e+03 
2638800000 8.187950e+03 
2.640950e+09 8.216600e+03 
2643100000 8.220150e+03 
2645250000 8.221800e+03 
2.647400e+09 8.231850e+03 
2649550000 8.238675e+03 
2651700000 8.229350e+03 
2653850000 8.222850e+03 
2.656000e+09 8.241650e+03 
2658150000 8.208575e+03 
2660300000 8.197875e+03 
2.662450e+09 8.203825e+03 
2664600000 8.199450e+03 
2666750000 8.181175e+03 
2668900000 8.166825e+03 
2.671050e+09 8.164075e+03 
2673200000 8.162675e+03 
2675350000 8.166950e+03 
2677500000 8.192300e+03 
2679650000 8210 
2681800000 8.215300e+03 
2683950000 8.236025e+03 
2.686100e+09 8.211850e+03 
2688250000 8.228500e+03 
2690400000 8.231025e+03 
2692550000 8.246375e+03 
2694700000 8.203200e+03 
2696850000 8.200325e+03 
2699000000 8.210650e+03 
2.701150e+09 8.147900e+03 
2703300000 8.174775e+03 
2705450000 8.137825e+03 
2707600000 8.173550e+03 
2.709750e+09 8.186275e+03 
2711900000 8.180775e+03 
2714050000 8.201600e+03 
2.716200e+09 8.206700e+03 
2718350000 8.214200e+03 
2720500000 8.226200e+03 
2722650000 8.230400e+03 
2724800000 8.218825e+03 
2726950000 8221 
2729100000 8.238300e+03 
2.731250e+09 8.213275e+03 
2733400000 8.219850e+03 
2735550000 8.232875e+03 
2737700000 8.217775e+03 
2.739850e+09 8.199375e+03 
2742000000 8.210100e+03 
2744150000 8.200850e+03 
2.746300e+09 8.216725e+03 
2748450000 8.205950e+03 
2750600000 8216 
2752750000 8.215225e+03 
2754900000 8.246975e+03 
2757050000 8.251125e+03 
2759200000 8.231425e+03 
2.761350e+09 8.245425e+03 
2763500000 8.254450e+03 
2765650000 8.214300e+03 
2767800000 8.222975e+03 
2.769950e+09 8.255250e+03 
2772100000 8.250025e+03 
2774250000 8.243775e+03 
2.776400e+09 8.217350e+03 
2778550000 8.241900e+03 
2780700000 8.250875e+03 
2782850000 8.219250e+03 
2785000000 8.225275e+03 
2787150000 8.236750e+03 
2789300000 8.238350e+03 
2791450000 8.225425e+03 
2793600000 8.266775e+03 
2795750000 8.230700e+03 
2797900000 8.237225e+03 
2.800050e+09 8.228600e+03 
2802200000 8.225700e+03 
2804350000 8.233900e+03 
2806500000 8.246100e+03 
2808650000 8.236425e+03 
2810800000 8.233275e+03 
2812950000 8.243850e+03 
2815100000 8.229050e+03 
2817250000 8.259375e+03 
2819400000 8.241100e+03 
2821550000 8.232550e+03 
2823700000 8.243800e+03 
2825850000 8.229500e+03 
2828000000 8.237425e+03 
2.830150e+09 8.214175e+03 
2832300000 8.238800e+03 
2834450000 8.262500e+03 
2836600000 8.224350e+03 
2838750000 8.235075e+03 
2840900000 8.264050e+03 
2843050000 8.237700e+03 
2845200000 8.230375e+03 
2847350000 8.233475e+03 
2849500000 8.247575e+03 
2851650000 8.240225e+03 
2853800000 8.249850e+03 
2855950000 8.227950e+03 
2858100000 8.248525e+03 
2.860250e+09 8.248975e+03 
2862400000 8.226225e+03 
2864550000 8.241950e+03 
2866700000 8.229175e+03 
2868850000 8.213175e+03 
2871000000 8.237375e+03 
2873150000 8.234075e+03 
2875300000 8.213975e+03 
2877450000 8.226225e+03 
2879600000 8.237050e+03 
2881750000 8.224750e+03 
2883900000 8.225900e+03 
2886050000 8.234600e+03 
2888200000 8.204300e+03 
2.890350e+09 8.210600e+03 
2892500000 8.223125e+03 
2894650000 8.237750e+03 
2896800000 8.215625e+03 
2898950000 8.225825e+03 
2901100000 8.210125e+03 
2903250000 8.230275e+03 
2905400000 8.215975e+03 
2907550000 8.210525e+03 
2909700000 8.215300e+03 
2911850000 8.216250e+03 
2914000000 8.233125e+03 
2916150000 8.205350e+03 
2918300000 8.215500e+03 
2920450000 8.228525e+03 
2922600000 8.210750e+03 
2924750000 8.214025e+03 
2926900000 8.215500e+03 
2929050000 8.216775e+03 
2931200000 8.195425e+03 
2933350000 8.230550e+03 
2935500000 8.215500e+03 
2937650000 8.237950e+03 
2939800000 8.182375e+03 
2941950000 8.206075e+03 
2.944100e+09 8.202075e+03 
2946250000 8.205425e+03 
2948400000 8.218800e+03 
2950550000 8.197450e+03 
2952700000 8.217100e+03 
2954850000 8.221650e+03 
2957000000 8.206800e+03 
2959150000 8.221800e+03 
2961300000 8.232450e+03 
2963450000 8.210675e+03 
2965600000 8.222225e+03 
2967750000 8210 
2969900000 8.200025e+03 
2972050000 8.209225e+03 
2974200000 8.197375e+03 
2976350000 8.219400e+03 
2978500000 8.192325e+03 
2980650000 8.220225e+03 
2982800000 8.210925e+03 
2984950000 8.225875e+03 
2987100000 8.211775e+03 
2989250000 8.214800e+03 
2991400000 8.223975e+03 
2993550000 8.203350e+03 
2995700000 8.208975e+03 
2997850000 8.216500e+03 
3000000000 8.224625e+03 

END
