IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.227325e+03 
2.572150e+09 8.232325e+03 
2574300000 8.217725e+03 
2576450000 8.221650e+03 
2578600000 8.208200e+03 
2.580750e+09 8.226850e+03 
2582900000 8.224425e+03 
2585050000 8.226325e+03 
2.587200e+09 8.240925e+03 
2589350000 8.229500e+03 
2591500000 8.247975e+03 
2593650000 8.219750e+03 
2.595800e+09 8.211525e+03 
2597950000 8.215100e+03 
2600100000 8.231225e+03 
2.602250e+09 8.202750e+03 
2604400000 8.236025e+03 
2606550000 8.222900e+03 
2608700000 8.235700e+03 
2.610850e+09 8.229600e+03 
2613000000 8.227650e+03 
2615150000 8.224175e+03 
2.617300e+09 8.226750e+03 
2619450000 8.249975e+03 
2621600000 8.225600e+03 
2623750000 8.237200e+03 
2.625900e+09 8.188375e+03 
2628050000 8.206675e+03 
2630200000 8.203525e+03 
2.632350e+09 8.187500e+03 
2634500000 8.176825e+03 
2636650000 8.192600e+03 
2638800000 8.212500e+03 
2.640950e+09 8.207375e+03 
2643100000 8.217975e+03 
2645250000 8.224100e+03 
2.647400e+09 8.252775e+03 
2649550000 8.248800e+03 
2651700000 8.228750e+03 
2653850000 8.259775e+03 
2.656000e+09 8.230875e+03 
2658150000 8.238850e+03 
2660300000 8.219625e+03 
2.662450e+09 8.197200e+03 
2664600000 8.179925e+03 
2666750000 8.159700e+03 
2668900000 8.157400e+03 
2.671050e+09 8.155625e+03 
2673200000 8.170825e+03 
2675350000 8.164850e+03 
2677500000 8.192725e+03 
2679650000 8.207950e+03 
2681800000 8.220800e+03 
2683950000 8.241525e+03 
2.686100e+09 8.244725e+03 
2688250000 8.241225e+03 
2690400000 8.256050e+03 
2692550000 8.231600e+03 
2694700000 8.186625e+03 
2696850000 8.202225e+03 
2699000000 8.193350e+03 
2.701150e+09 8.189300e+03 
2703300000 8.174075e+03 
2705450000 8.174725e+03 
2707600000 8.164075e+03 
2.709750e+09 8.187025e+03 
2711900000 8.197425e+03 
2714050000 8.217975e+03 
2.716200e+09 8.219150e+03 
2718350000 8.215600e+03 
2720500000 8.238975e+03 
2722650000 8.233875e+03 
2724800000 8.258775e+03 
2726950000 8.251775e+03 
2729100000 8.223950e+03 
2.731250e+09 8232 
2733400000 8.234150e+03 
2735550000 8.197050e+03 
2737700000 8.227750e+03 
2.739850e+09 8.227750e+03 
2742000000 8.200450e+03 
2744150000 8.221525e+03 
2.746300e+09 8.169125e+03 
2748450000 8.207475e+03 
2750600000 8.228425e+03 
2752750000 8.220900e+03 
2754900000 8.235300e+03 
2757050000 8.247275e+03 
2759200000 8.232400e+03 
2.761350e+09 8.258050e+03 
2763500000 8.244525e+03 
2765650000 8.234900e+03 
2767800000 8.223325e+03 
2.769950e+09 8.212025e+03 
2772100000 8.220675e+03 
2774250000 8.232550e+03 
2.776400e+09 8.230825e+03 
2778550000 8.253425e+03 
2780700000 8.206425e+03 
2782850000 8.243900e+03 
2785000000 8.219150e+03 
2787150000 8.213150e+03 
2789300000 8216 
2791450000 8.234650e+03 
2793600000 8.243150e+03 
2795750000 8.245800e+03 
2797900000 8.216750e+03 
2.800050e+09 8.251175e+03 
2802200000 8.221525e+03 
2804350000 8.232550e+03 
2806500000 8.210450e+03 
2808650000 8.213325e+03 
2810800000 8.236150e+03 
2812950000 8.242550e+03 
2815100000 8.220675e+03 
2817250000 8.241575e+03 
2819400000 8.242825e+03 
2821550000 8.238900e+03 
2823700000 8.234950e+03 
2825850000 8.237900e+03 
2828000000 8.221325e+03 
2.830150e+09 8.239325e+03 
2832300000 8.219950e+03 
2834450000 8.237275e+03 
2836600000 8232 
2838750000 8.213350e+03 
2840900000 8.222075e+03 
2843050000 8.220125e+03 
2845200000 8.220950e+03 
2847350000 8.230300e+03 
2849500000 8.238450e+03 
2851650000 8.216100e+03 
2853800000 8.223925e+03 
2855950000 8.209750e+03 
2858100000 8.247075e+03 
2.860250e+09 8.243575e+03 
2862400000 8.218950e+03 
2864550000 8.230250e+03 
2866700000 8.221925e+03 
2868850000 8.232800e+03 
2871000000 8.227275e+03 
2873150000 8.216400e+03 
2875300000 8.226025e+03 
2877450000 8.228750e+03 
2879600000 8.227600e+03 
2881750000 8.225950e+03 
2883900000 8.211375e+03 
2886050000 8.220975e+03 
2888200000 8.230675e+03 
2.890350e+09 8.210950e+03 
2892500000 8.198475e+03 
2894650000 8.221350e+03 
2896800000 8.210750e+03 
2898950000 8.221450e+03 
2901100000 8.216125e+03 
2903250000 8.210925e+03 
2905400000 8.217100e+03 
2907550000 8.240150e+03 
2909700000 8.208850e+03 
2911850000 8.223800e+03 
2914000000 8.226675e+03 
2916150000 8.216550e+03 
2918300000 8.225275e+03 
2920450000 8.238750e+03 
2922600000 8.194575e+03 
2924750000 8.214150e+03 
2926900000 8.200525e+03 
2929050000 8.215125e+03 
2931200000 8.219775e+03 
2933350000 8.219075e+03 
2935500000 8.205850e+03 
2937650000 8.230875e+03 
2939800000 8.232125e+03 
2941950000 8.194525e+03 
2.944100e+09 8.218675e+03 
2946250000 8.211975e+03 
2948400000 8.230500e+03 
2950550000 8216 
2952700000 8.191850e+03 
2954850000 8.200025e+03 
2957000000 8.222200e+03 
2959150000 8.204975e+03 
2961300000 8.207025e+03 
2963450000 8.206550e+03 
2965600000 8.206925e+03 
2967750000 8.217250e+03 
2969900000 8.181475e+03 
2972050000 8.192500e+03 
2974200000 8.209100e+03 
2976350000 8.223300e+03 
2978500000 8.177650e+03 
2980650000 8.212200e+03 
2982800000 8.226025e+03 
