IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.278700e+03 
2.572150e+09 8.291725e+03 
2574300000 8.328900e+03 
2576450000 8.287325e+03 
2578600000 8.285575e+03 
2.580750e+09 8.326100e+03 
2582900000 8309 
2585050000 8315 
2.587200e+09 8.282350e+03 
2589350000 8.333050e+03 
2591500000 8.335625e+03 
2593650000 8.309050e+03 
2.595800e+09 8.307875e+03 
2597950000 8302 
2600100000 8.301925e+03 
2.602250e+09 8.321500e+03 
2604400000 8299 
2606550000 8.319675e+03 
2608700000 8.289675e+03 
2.610850e+09 8.335825e+03 
2613000000 8.329025e+03 
2615150000 8.318800e+03 
2.617300e+09 8.326225e+03 
2619450000 8.302700e+03 
2621600000 8.272575e+03 
2623750000 8.289100e+03 
2.625900e+09 8.279550e+03 
2628050000 8.274500e+03 
2630200000 8.261650e+03 
2.632350e+09 8.265500e+03 
2634500000 8.264350e+03 
2636650000 8.257425e+03 
2638800000 8.243350e+03 
2.640950e+09 8.287100e+03 
2643100000 8.304750e+03 
2645250000 8.305050e+03 
2.647400e+09 8.300075e+03 
2649550000 8.318825e+03 
2651700000 8.326675e+03 
2653850000 8.293775e+03 
2.656000e+09 8.292175e+03 
2658150000 8.324025e+03 
2660300000 8.293075e+03 
2.662450e+09 8.290700e+03 
2664600000 8.261825e+03 
2666750000 8.234925e+03 
2668900000 8.246050e+03 
2.671050e+09 8.224425e+03 
2673200000 8.242825e+03 
2675350000 8.256600e+03 
2677500000 8.284500e+03 
2679650000 8.287925e+03 
2681800000 8.279450e+03 
2683950000 8.296750e+03 
2.686100e+09 8.307950e+03 
2688250000 8.300400e+03 
2690400000 8.297475e+03 
2692550000 8.294900e+03 
2694700000 8.288400e+03 
2696850000 8.273950e+03 
2699000000 8.273625e+03 
2.701150e+09 8.245050e+03 
2703300000 8.246700e+03 
2705450000 8.267550e+03 
2707600000 8.250975e+03 
2.709750e+09 8.263450e+03 
2711900000 8.268625e+03 
2714050000 8.302425e+03 
2.716200e+09 8.306750e+03 
2718350000 8.284025e+03 
2720500000 8.292600e+03 
2722650000 8.326100e+03 
2724800000 8.315050e+03 
2726950000 8.325725e+03 
2729100000 8.296350e+03 
2.731250e+09 8.291550e+03 
2733400000 8.296025e+03 
2735550000 8.269350e+03 
2737700000 8.294150e+03 
2.739850e+09 8.286350e+03 
2742000000 8.302800e+03 
2744150000 8.304300e+03 
2.746300e+09 8.275975e+03 
2748450000 8.310625e+03 
2750600000 8.292850e+03 
2752750000 8.326925e+03 
2754900000 8.328925e+03 
2757050000 8.309925e+03 
2759200000 8.310725e+03 
2.761350e+09 8.317125e+03 
2763500000 8.295600e+03 
2765650000 8.319725e+03 
2767800000 8.322775e+03 
2.769950e+09 8.326275e+03 
2772100000 8.309675e+03 
2774250000 8.298050e+03 
2.776400e+09 8.303200e+03 
2778550000 8.297550e+03 
2780700000 8.299725e+03 
2782850000 8.290775e+03 
2785000000 8.321325e+03 
2787150000 8.300625e+03 
2789300000 8.309950e+03 
2791450000 8.316025e+03 
2793600000 8.330425e+03 
2795750000 8.306500e+03 
2797900000 8.310025e+03 
2.800050e+09 8.314100e+03 
2802200000 8.323100e+03 
2804350000 8.308050e+03 
