IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.187100e+03 
2.572150e+09 8.201625e+03 
2574300000 8.188600e+03 
2576450000 8.194450e+03 
2578600000 8.191225e+03 
2.580750e+09 8.189075e+03 
2582900000 8.203200e+03 
2585050000 8.204250e+03 
2.587200e+09 8.205675e+03 
2589350000 8.206750e+03 
2591500000 8.192250e+03 
2593650000 8.188650e+03 
2.595800e+09 8.207500e+03 
2597950000 8.192575e+03 
2600100000 8.209350e+03 
2.602250e+09 8.201300e+03 
2604400000 8.209300e+03 
2606550000 8.197675e+03 
2608700000 8.181275e+03 
2.610850e+09 8.196625e+03 
2613000000 8.194200e+03 
2615150000 8.226675e+03 
2.617300e+09 8.191750e+03 
2619450000 8.201600e+03 
2621600000 8.215450e+03 
2623750000 8.167675e+03 
2.625900e+09 8.175075e+03 
2628050000 8.179575e+03 
2630200000 8.165950e+03 
2.632350e+09 8.157225e+03 
2634500000 8.165300e+03 
2636650000 8.170775e+03 
2638800000 8.160350e+03 
2.640950e+09 8.157850e+03 
2643100000 8.170900e+03 
2645250000 8.212450e+03 
2.647400e+09 8.205475e+03 
2649550000 8.183325e+03 
2651700000 8.215375e+03 
2653850000 8.183400e+03 
2.656000e+09 8.206225e+03 
2658150000 8.185575e+03 
2660300000 8.179725e+03 
2.662450e+09 8.156425e+03 
2664600000 8137 
2666750000 8.146475e+03 
2668900000 8.126725e+03 
2.671050e+09 8.122625e+03 
2673200000 8.145050e+03 
2675350000 8.151525e+03 
2677500000 8.186325e+03 
2679650000 8.192325e+03 
2681800000 8.196675e+03 
2683950000 8.204350e+03 
2.686100e+09 8.169400e+03 
2688250000 8.198850e+03 
2690400000 8.190775e+03 
2692550000 8.194900e+03 
2694700000 8.184600e+03 
2696850000 8.183725e+03 
2699000000 8.189825e+03 
2.701150e+09 8.181925e+03 
2703300000 8.155950e+03 
2705450000 8.136050e+03 
2707600000 8.145750e+03 
2.709750e+09 8.168750e+03 
2711900000 8.156025e+03 
2714050000 8.181050e+03 
2.716200e+09 8.186475e+03 
2718350000 8.196250e+03 
2720500000 8.186300e+03 
2722650000 8.199125e+03 
2724800000 8.185400e+03 
2726950000 8.221375e+03 
2729100000 8.188125e+03 
2.731250e+09 8.184675e+03 
2733400000 8.172275e+03 
2735550000 8.192450e+03 
2737700000 8.181100e+03 
2.739850e+09 8.159375e+03 
2742000000 8.163075e+03 
2744150000 8.184450e+03 
2.746300e+09 8.173850e+03 
2748450000 8.177075e+03 
2750600000 8.178075e+03 
2752750000 8.194525e+03 
2754900000 8.188250e+03 
2757050000 8.177125e+03 
2759200000 8.180275e+03 
2.761350e+09 8.189450e+03 
2763500000 8.222725e+03 
2765650000 8.184450e+03 
2767800000 8.198275e+03 
2.769950e+09 8.206050e+03 
2772100000 8.215350e+03 
2774250000 8.213900e+03 
2.776400e+09 8.197175e+03 
2778550000 8.208125e+03 
2780700000 8.205375e+03 
2782850000 8.203275e+03 
2785000000 8.193550e+03 
2787150000 8.202050e+03 
2789300000 8.218350e+03 
2791450000 8.210125e+03 
2793600000 8.204250e+03 
2795750000 8.187125e+03 
2797900000 8.228675e+03 
2.800050e+09 8.179450e+03 
2802200000 8202 
2804350000 8.203925e+03 
2806500000 8.217900e+03 
2808650000 8.211050e+03 
2810800000 8.215400e+03 
2812950000 8.225275e+03 
2815100000 8.215900e+03 
2817250000 8.228450e+03 
2819400000 8.233700e+03 
2821550000 8.195775e+03 
2823700000 8.237800e+03 
2825850000 8.211300e+03 
2828000000 8.208800e+03 
2.830150e+09 8.226900e+03 
2832300000 8.229275e+03 
2834450000 8.223500e+03 
2836600000 8.218275e+03 
2838750000 8.226950e+03 
2840900000 8.199300e+03 
2843050000 8.231025e+03 
2845200000 8.208125e+03 
2847350000 8.185550e+03 
2849500000 8.217550e+03 
2851650000 8.236500e+03 
2853800000 8.190700e+03 
2855950000 8.224800e+03 
2858100000 8.209400e+03 
2.860250e+09 8.217100e+03 
2862400000 8.208575e+03 
2864550000 8.203350e+03 
2866700000 8.211250e+03 
2868850000 8.225650e+03 
2871000000 8.230725e+03 
2873150000 8.198975e+03 
2875300000 8.227450e+03 
2877450000 8.210025e+03 
2879600000 8.231525e+03 
2881750000 8.196050e+03 
2883900000 8.207200e+03 
2886050000 8.188475e+03 
2888200000 8.181250e+03 
2.890350e+09 8.212875e+03 
2892500000 8.208075e+03 
2894650000 8.197275e+03 
2896800000 8.185900e+03 
2898950000 8.230275e+03 
2901100000 8.194450e+03 
2903250000 8196 
2905400000 8.209900e+03 
2907550000 8.208850e+03 
2909700000 8.205875e+03 
2911850000 8.195425e+03 
2914000000 8.203700e+03 
2916150000 8.210075e+03 
2918300000 8.208350e+03 
2920450000 8.176400e+03 
