timestamp,ix,iy,file
2025-11-06T13:00:32.551,0,0,D:\Data\2025-11-6\Image_2025-11-6_Img0287.txt
2025-11-06T13:01:12.592,0,1,D:\Data\2025-11-6\Image_2025-11-6_Img0288.txt
2025-11-06T13:01:53.029,0,2,D:\Data\2025-11-6\Image_2025-11-6_Img0289.txt
2025-11-06T13:02:32.904,0,3,D:\Data\2025-11-6\Image_2025-11-6_Img0290.txt
2025-11-06T13:03:12.503,0,4,D:\Data\2025-11-6\Image_2025-11-6_Img0291.txt
2025-11-06T13:03:52.184,1,4,D:\Data\2025-11-6\Image_2025-11-6_Img0292.txt
2025-11-06T13:04:32.084,1,3,D:\Data\2025-11-6\Image_2025-11-6_Img0293.txt
2025-11-06T13:05:12.143,1,2,D:\Data\2025-11-6\Image_2025-11-6_Img0294.txt
2025-11-06T13:05:51.859,1,1,D:\Data\2025-11-6\Image_2025-11-6_Img0295.txt
2025-11-06T13:06:31.584,1,0,D:\Data\2025-11-6\Image_2025-11-6_Img0296.txt
2025-11-06T13:07:11.765,2,0,D:\Data\2025-11-6\Image_2025-11-6_Img0297.txt
2025-11-06T13:07:51.239,2,1,D:\Data\2025-11-6\Image_2025-11-6_Img0298.txt
2025-11-06T13:08:31.309,2,2,D:\Data\2025-11-6\Image_2025-11-6_Img0299.txt
2025-11-06T13:09:10.872,2,3,D:\Data\2025-11-6\Image_2025-11-6_Img0300.txt
2025-11-06T13:09:50.348,2,4,D:\Data\2025-11-6\Image_2025-11-6_Img0301.txt
2025-11-06T13:10:30.038,3,4,D:\Data\2025-11-6\Image_2025-11-6_Img0302.txt
2025-11-06T13:11:10.304,3,3,D:\Data\2025-11-6\Image_2025-11-6_Img0303.txt
2025-11-06T13:11:49.686,3,2,D:\Data\2025-11-6\Image_2025-11-6_Img0304.txt
2025-11-06T13:12:29.465,3,1,D:\Data\2025-11-6\Image_2025-11-6_Img0305.txt
2025-11-06T13:13:09.414,3,0,D:\Data\2025-11-6\Image_2025-11-6_Img0306.txt
2025-11-06T13:13:50.341,4,0,D:\Data\2025-11-6\Image_2025-11-6_Img0307.txt
2025-11-06T13:14:30.729,4,1,D:\Data\2025-11-6\Image_2025-11-6_Img0308.txt
2025-11-06T13:15:10.694,4,2,D:\Data\2025-11-6\Image_2025-11-6_Img0309.txt
2025-11-06T13:15:50.886,4,3,D:\Data\2025-11-6\Image_2025-11-6_Img0310.txt
2025-11-06T13:16:31.094,4,4,D:\Data\2025-11-6\Image_2025-11-6_Img0311.txt
