timestamp,ix,iy,file
2025-11-06T13:29:48.081,0,0,D:\Data\2025-11-6\Image_2025-11-6_Img0312.txt
2025-11-06T13:30:28.692,0,1,D:\Data\2025-11-6\Image_2025-11-6_Img0313.txt
2025-11-06T13:31:08.500,0,2,D:\Data\2025-11-6\Image_2025-11-6_Img0314.txt
2025-11-06T13:31:48.980,0,3,D:\Data\2025-11-6\Image_2025-11-6_Img0315.txt
2025-11-06T13:32:29.965,0,4,D:\Data\2025-11-6\Image_2025-11-6_Img0316.txt
2025-11-06T13:33:09.858,0,5,D:\Data\2025-11-6\Image_2025-11-6_Img0317.txt
2025-11-06T13:33:49.602,0,6,D:\Data\2025-11-6\Image_2025-11-6_Img0318.txt
2025-11-06T13:34:29.570,0,7,D:\Data\2025-11-6\Image_2025-11-6_Img0319.txt
2025-11-06T13:35:09.950,1,7,D:\Data\2025-11-6\Image_2025-11-6_Img0320.txt
2025-11-06T13:35:50.070,1,6,D:\Data\2025-11-6\Image_2025-11-6_Img0321.txt
2025-11-06T13:36:30.327,1,5,D:\Data\2025-11-6\Image_2025-11-6_Img0322.txt
2025-11-06T13:37:10.010,1,4,D:\Data\2025-11-6\Image_2025-11-6_Img0323.txt
2025-11-06T13:37:49.922,1,3,D:\Data\2025-11-6\Image_2025-11-6_Img0324.txt
2025-11-06T13:38:29.915,1,2,D:\Data\2025-11-6\Image_2025-11-6_Img0325.txt
2025-11-06T13:39:10.318,1,1,D:\Data\2025-11-6\Image_2025-11-6_Img0326.txt
2025-11-06T13:39:50.043,1,0,D:\Data\2025-11-6\Image_2025-11-6_Img0327.txt
2025-11-06T13:40:29.790,2,0,D:\Data\2025-11-6\Image_2025-11-6_Img0328.txt
2025-11-06T13:41:09.326,2,1,D:\Data\2025-11-6\Image_2025-11-6_Img0329.txt
2025-11-06T13:41:49.322,2,2,D:\Data\2025-11-6\Image_2025-11-6_Img0330.txt
2025-11-06T13:42:29.040,2,3,D:\Data\2025-11-6\Image_2025-11-6_Img0331.txt
2025-11-06T13:43:08.671,2,4,D:\Data\2025-11-6\Image_2025-11-6_Img0332.txt
2025-11-06T13:43:48.880,2,5,D:\Data\2025-11-6\Image_2025-11-6_Img0333.txt
2025-11-06T13:44:28.516,2,6,D:\Data\2025-11-6\Image_2025-11-6_Img0334.txt
2025-11-06T13:45:08.259,2,7,D:\Data\2025-11-6\Image_2025-11-6_Img0335.txt
2025-11-06T13:45:48.913,3,7,D:\Data\2025-11-6\Image_2025-11-6_Img0336.txt
2025-11-06T13:46:28.579,3,6,D:\Data\2025-11-6\Image_2025-11-6_Img0337.txt
2025-11-06T13:47:08.415,3,5,D:\Data\2025-11-6\Image_2025-11-6_Img0338.txt
2025-11-06T13:47:48.185,3,4,D:\Data\2025-11-6\Image_2025-11-6_Img0339.txt
2025-11-06T13:48:28.823,3,3,D:\Data\2025-11-6\Image_2025-11-6_Img0340.txt
2025-11-06T13:49:08.384,3,2,D:\Data\2025-11-6\Image_2025-11-6_Img0341.txt
2025-11-06T13:49:48.318,3,1,D:\Data\2025-11-6\Image_2025-11-6_Img0342.txt
2025-11-06T13:50:28.200,3,0,D:\Data\2025-11-6\Image_2025-11-6_Img0343.txt
2025-11-06T13:51:08.322,4,0,D:\Data\2025-11-6\Image_2025-11-6_Img0344.txt
2025-11-06T13:51:48.409,4,1,D:\Data\2025-11-6\Image_2025-11-6_Img0345.txt
2025-11-06T13:52:29.012,4,2,D:\Data\2025-11-6\Image_2025-11-6_Img0346.txt
2025-11-06T13:53:09.103,4,3,D:\Data\2025-11-6\Image_2025-11-6_Img0347.txt
2025-11-06T13:53:49.257,4,4,D:\Data\2025-11-6\Image_2025-11-6_Img0348.txt
2025-11-06T13:54:30.012,4,5,D:\Data\2025-11-6\Image_2025-11-6_Img0349.txt
2025-11-06T13:55:09.834,4,6,D:\Data\2025-11-6\Image_2025-11-6_Img0350.txt
2025-11-06T13:55:49.820,4,7,D:\Data\2025-11-6\Image_2025-11-6_Img0351.txt
2025-11-06T13:56:29.450,5,7,D:\Data\2025-11-6\Image_2025-11-6_Img0352.txt
2025-11-06T13:57:10.138,5,6,D:\Data\2025-11-6\Image_2025-11-6_Img0353.txt
2025-11-06T13:57:50.859,5,5,D:\Data\2025-11-6\Image_2025-11-6_Img0354.txt
2025-11-06T13:58:30.721,5,4,D:\Data\2025-11-6\Image_2025-11-6_Img0355.txt
2025-11-06T13:59:10.627,5,3,D:\Data\2025-11-6\Image_2025-11-6_Img0356.txt
2025-11-06T13:59:51.062,5,2,D:\Data\2025-11-6\Image_2025-11-6_Img0357.txt
2025-11-06T14:00:31.541,5,1,D:\Data\2025-11-6\Image_2025-11-6_Img0358.txt
