timestamp,ix,iy,file
2025-11-06T12:44:28.051,0,0,D:\Data\2025-11-6\Image_2025-11-6_Img0259.txt
2025-11-06T12:44:44.452,0,1,D:\Data\2025-11-6\Image_2025-11-6_Img0260.txt
2025-11-06T12:45:00.672,0,2,D:\Data\2025-11-6\Image_2025-11-6_Img0261.txt
2025-11-06T12:45:17.569,0,3,D:\Data\2025-11-6\Image_2025-11-6_Img0262.txt
2025-11-06T12:45:33.287,0,4,D:\Data\2025-11-6\Image_2025-11-6_Img0263.txt
2025-11-06T12:45:48.978,1,4,D:\Data\2025-11-6\Image_2025-11-6_Img0264.txt
2025-11-06T12:46:05.257,1,3,D:\Data\2025-11-6\Image_2025-11-6_Img0265.txt
2025-11-06T12:46:20.766,1,2,D:\Data\2025-11-6\Image_2025-11-6_Img0266.txt
2025-11-06T12:46:36.887,1,1,D:\Data\2025-11-6\Image_2025-11-6_Img0267.txt
2025-11-06T12:46:52.796,1,0,D:\Data\2025-11-6\Image_2025-11-6_Img0268.txt
2025-11-06T12:47:10.063,2,0,D:\Data\2025-11-6\Image_2025-11-6_Img0269.txt
2025-11-06T12:47:25.775,2,1,D:\Data\2025-11-6\Image_2025-11-6_Img0270.txt
2025-11-06T12:47:42.965,2,2,D:\Data\2025-11-6\Image_2025-11-6_Img0271.txt
2025-11-06T12:47:58.353,2,3,D:\Data\2025-11-6\Image_2025-11-6_Img0272.txt
2025-11-06T12:48:14.023,2,4,D:\Data\2025-11-6\Image_2025-11-6_Img0273.txt
2025-11-06T12:48:30.214,3,4,D:\Data\2025-11-6\Image_2025-11-6_Img0274.txt
2025-11-06T12:48:46.677,3,3,D:\Data\2025-11-6\Image_2025-11-6_Img0275.txt
2025-11-06T12:49:02.101,3,2,D:\Data\2025-11-6\Image_2025-11-6_Img0276.txt
2025-11-06T12:49:17.731,3,1,D:\Data\2025-11-6\Image_2025-11-6_Img0277.txt
2025-11-06T12:49:33.496,3,0,D:\Data\2025-11-6\Image_2025-11-6_Img0278.txt
2025-11-06T12:49:49.650,4,0,D:\Data\2025-11-6\Image_2025-11-6_Img0279.txt
2025-11-06T12:50:06.692,4,1,D:\Data\2025-11-6\Image_2025-11-6_Img0280.txt
2025-11-06T12:50:22.208,4,2,D:\Data\2025-11-6\Image_2025-11-6_Img0281.txt
2025-11-06T12:50:38.018,4,3,D:\Data\2025-11-6\Image_2025-11-6_Img0282.txt
2025-11-06T12:50:53.628,4,4,D:\Data\2025-11-6\Image_2025-11-6_Img0283.txt
