timestamp,ix,iy,file
2025-11-06T12:19:53.517,0,0,D:\Data\2025-11-6\Image_2025-11-6_Img0203.txt
2025-11-06T12:20:09.101,0,1,D:\Data\2025-11-6\Image_2025-11-6_Img0204.txt
2025-11-06T12:20:24.979,0,2,D:\Data\2025-11-6\Image_2025-11-6_Img0205.txt
2025-11-06T12:20:40.982,0,3,D:\Data\2025-11-6\Image_2025-11-6_Img0206.txt
2025-11-06T12:20:56.949,0,4,D:\Data\2025-11-6\Image_2025-11-6_Img0207.txt
2025-11-06T12:21:12.328,1,4,D:\Data\2025-11-6\Image_2025-11-6_Img0208.txt
2025-11-06T12:21:28.023,1,3,D:\Data\2025-11-6\Image_2025-11-6_Img0209.txt
2025-11-06T12:21:43.418,1,2,D:\Data\2025-11-6\Image_2025-11-6_Img0210.txt
2025-11-06T12:21:59.255,1,1,D:\Data\2025-11-6\Image_2025-11-6_Img0211.txt
2025-11-06T12:22:14.993,1,0,D:\Data\2025-11-6\Image_2025-11-6_Img0212.txt
2025-11-06T12:22:30.875,2,0,D:\Data\2025-11-6\Image_2025-11-6_Img0213.txt
2025-11-06T12:22:47.032,2,1,D:\Data\2025-11-6\Image_2025-11-6_Img0214.txt
2025-11-06T12:23:03.245,2,2,D:\Data\2025-11-6\Image_2025-11-6_Img0215.txt
2025-11-06T12:23:18.960,2,3,D:\Data\2025-11-6\Image_2025-11-6_Img0216.txt
2025-11-06T12:23:34.316,2,4,D:\Data\2025-11-6\Image_2025-11-6_Img0217.txt
2025-11-06T12:23:49.917,3,4,D:\Data\2025-11-6\Image_2025-11-6_Img0218.txt
2025-11-06T12:24:07.318,3,3,D:\Data\2025-11-6\Image_2025-11-6_Img0219.txt
2025-11-06T12:24:24.491,3,2,D:\Data\2025-11-6\Image_2025-11-6_Img0220.txt
2025-11-06T12:24:40.165,3,1,D:\Data\2025-11-6\Image_2025-11-6_Img0221.txt
2025-11-06T12:24:55.340,3,0,D:\Data\2025-11-6\Image_2025-11-6_Img0222.txt
2025-11-06T12:25:11.082,4,0,D:\Data\2025-11-6\Image_2025-11-6_Img0223.txt
2025-11-06T12:25:27.212,4,1,D:\Data\2025-11-6\Image_2025-11-6_Img0224.txt
2025-11-06T12:25:43.909,4,2,D:\Data\2025-11-6\Image_2025-11-6_Img0225.txt
2025-11-06T12:25:59.591,4,3,D:\Data\2025-11-6\Image_2025-11-6_Img0226.txt
2025-11-06T12:26:16.589,4,4,D:\Data\2025-11-6\Image_2025-11-6_Img0227.txt
