timestamp,ix,iy,x_target_um,y_target_um,x_read_um,y_read_um,file
2026-04-19T11:16:08.365,0,0,3900.000,5300.000,3903.992,5284.588,D:\Data\2026-4-19\Image_2026-4-19_Img0001.txt
2026-04-19T11:16:22.825,0,1,3900.000,5233.333,3903.844,5276.058,D:\Data\2026-4-19\Image_2026-4-19_Img0002.txt
2026-04-19T11:16:37.750,0,2,3900.000,5166.667,3904.778,5206.858,D:\Data\2026-4-19\Image_2026-4-19_Img0003.txt
2026-04-19T11:16:51.987,0,3,3900.000,5100.000,3904.914,5122.325,D:\Data\2026-4-19\Image_2026-4-19_Img0004.txt
2026-04-19T11:17:08.196,0,4,3900.000,5033.333,3904.926,5039.334,D:\Data\2026-4-19\Image_2026-4-19_Img0005.txt
2026-04-19T11:17:24.023,0,5,3900.000,4966.667,3904.855,4975.075,D:\Data\2026-4-19\Image_2026-4-19_Img0006.txt
2026-04-19T11:17:38.983,0,6,3900.000,4900.000,3904.991,4909.947,D:\Data\2026-4-19\Image_2026-4-19_Img0007.txt
2026-04-19T11:17:52.917,0,7,3900.000,4833.333,3904.862,4839.628,D:\Data\2026-4-19\Image_2026-4-19_Img0008.txt
2026-04-19T11:18:09.600,0,8,3900.000,4766.667,3904.807,4779.911,D:\Data\2026-4-19\Image_2026-4-19_Img0009.txt
2026-04-19T11:18:27.158,0,9,3900.000,4700.000,3904.440,4716.507,D:\Data\2026-4-19\Image_2026-4-19_Img0010.txt
2026-04-19T11:18:42.800,0,10,3900.000,4633.333,3904.155,4641.999,D:\Data\2026-4-19\Image_2026-4-19_Img0011.txt
2026-04-19T11:19:02.418,0,11,3900.000,4566.667,3903.682,4587.985,D:\Data\2026-4-19\Image_2026-4-19_Img0012.txt
2026-04-19T11:19:17.812,0,12,3900.000,4500.000,3903.627,4520.562,D:\Data\2026-4-19\Image_2026-4-19_Img0013.txt
2026-04-19T11:19:33.149,0,13,3900.000,4433.333,3904.160,4455.226,D:\Data\2026-4-19\Image_2026-4-19_Img0014.txt
2026-04-19T11:19:51.904,0,14,3900.000,4366.667,3903.746,4385.042,D:\Data\2026-4-19\Image_2026-4-19_Img0015.txt
2026-04-19T11:20:09.023,0,15,3900.000,4300.000,3903.859,4306.533,D:\Data\2026-4-19\Image_2026-4-19_Img0016.txt
2026-04-19T11:20:26.009,0,16,3900.000,4233.333,3903.846,4240.292,D:\Data\2026-4-19\Image_2026-4-19_Img0017.txt
2026-04-19T11:20:40.089,0,17,3900.000,4166.667,3903.916,4188.277,D:\Data\2026-4-19\Image_2026-4-19_Img0018.txt
2026-04-19T11:20:58.194,0,18,3900.000,4100.000,3903.811,4115.365,D:\Data\2026-4-19\Image_2026-4-19_Img0019.txt
2026-04-19T11:21:14.779,0,19,3900.000,4033.333,3903.636,4042.141,D:\Data\2026-4-19\Image_2026-4-19_Img0020.txt
2026-04-19T11:21:31.410,0,20,3900.000,3966.667,3903.048,3991.533,D:\Data\2026-4-19\Image_2026-4-19_Img0021.txt
2026-04-19T11:21:47.499,0,21,3900.000,3900.000,3901.511,3909.573,D:\Data\2026-4-19\Image_2026-4-19_Img0022.txt
2026-04-19T11:22:04.138,0,22,3900.000,3833.333,3901.388,3847.304,D:\Data\2026-4-19\Image_2026-4-19_Img0023.txt
2026-04-19T11:22:18.783,0,23,3900.000,3766.667,3901.977,3791.293,D:\Data\2026-4-19\Image_2026-4-19_Img0024.txt
2026-04-19T11:22:35.646,0,24,3900.000,3700.000,3901.163,3715.053,D:\Data\2026-4-19\Image_2026-4-19_Img0025.txt
2026-04-19T11:22:50.514,0,25,3900.000,3633.333,3901.343,3643.563,D:\Data\2026-4-19\Image_2026-4-19_Img0026.txt
2026-04-19T11:23:07.909,0,26,3900.000,3566.667,3900.845,3576.460,D:\Data\2026-4-19\Image_2026-4-19_Img0027.txt
2026-04-19T11:23:22.747,0,27,3900.000,3500.000,3898.685,3521.244,D:\Data\2026-4-19\Image_2026-4-19_Img0028.txt
2026-04-19T11:23:38.915,0,28,3900.000,3433.333,3899.365,3462.160,D:\Data\2026-4-19\Image_2026-4-19_Img0029.txt
2026-04-19T11:23:53.829,0,29,3900.000,3366.667,3899.038,3381.347,D:\Data\2026-4-19\Image_2026-4-19_Img0030.txt
2026-04-19T11:24:10.916,0,30,3900.000,3300.000,3897.902,3315.535,D:\Data\2026-4-19\Image_2026-4-19_Img0031.txt
2026-04-19T11:24:27.504,1,30,3970.000,3300.000,3949.415,3312.387,D:\Data\2026-4-19\Image_2026-4-19_Img0032.txt
2026-04-19T11:24:42.346,1,29,3970.000,3366.667,3954.250,3347.086,D:\Data\2026-4-19\Image_2026-4-19_Img0033.txt
2026-04-19T11:24:58.738,1,28,3970.000,3433.333,3954.061,3417.998,D:\Data\2026-4-19\Image_2026-4-19_Img0034.txt
2026-04-19T11:25:16.357,1,27,3970.000,3500.000,3954.044,3494.675,D:\Data\2026-4-19\Image_2026-4-19_Img0035.txt
2026-04-19T11:25:31.732,1,26,3970.000,3566.667,3954.504,3537.877,D:\Data\2026-4-19\Image_2026-4-19_Img0036.txt
2026-04-19T11:25:48.525,1,25,3970.000,3633.333,3954.502,3622.753,D:\Data\2026-4-19\Image_2026-4-19_Img0037.txt
2026-04-19T11:26:04.710,1,24,3970.000,3700.000,3954.602,3688.873,D:\Data\2026-4-19\Image_2026-4-19_Img0038.txt
2026-04-19T11:26:21.659,1,23,3970.000,3766.667,3954.690,3760.231,D:\Data\2026-4-19\Image_2026-4-19_Img0039.txt
2026-04-19T11:26:37.706,1,22,3970.000,3833.333,3954.290,3815.543,D:\Data\2026-4-19\Image_2026-4-19_Img0040.txt
2026-04-19T11:26:53.087,1,21,3970.000,3900.000,3954.350,3884.312,D:\Data\2026-4-19\Image_2026-4-19_Img0041.txt
2026-04-19T11:27:09.876,1,20,3970.000,3966.667,3953.945,3952.810,D:\Data\2026-4-19\Image_2026-4-19_Img0042.txt
2026-04-19T11:27:26.466,1,19,3970.000,4033.333,3953.030,4032.206,D:\Data\2026-4-19\Image_2026-4-19_Img0043.txt
2026-04-19T11:27:41.832,1,18,3970.000,4100.000,3953.302,4080.558,D:\Data\2026-4-19\Image_2026-4-19_Img0044.txt
2026-04-19T11:27:58.473,1,17,3970.000,4166.667,3953.173,4152.740,D:\Data\2026-4-19\Image_2026-4-19_Img0045.txt
2026-04-19T11:28:11.647,1,16,3970.000,4233.333,3953.141,4196.898,D:\Data\2026-4-19\Image_2026-4-19_Img0046.txt
2026-04-19T11:28:28.655,1,15,3970.000,4300.000,3954.268,4272.634,D:\Data\2026-4-19\Image_2026-4-19_Img0047.txt
2026-04-19T11:28:45.054,1,14,3970.000,4366.667,3954.012,4347.589,D:\Data\2026-4-19\Image_2026-4-19_Img0048.txt
2026-04-19T11:29:00.439,1,13,3970.000,4433.333,3953.775,4418.865,D:\Data\2026-4-19\Image_2026-4-19_Img0049.txt
2026-04-19T11:29:16.652,1,12,3970.000,4500.000,3954.665,4485.082,D:\Data\2026-4-19\Image_2026-4-19_Img0050.txt
2026-04-19T11:29:32.083,1,11,3970.000,4566.667,3954.482,4560.253,D:\Data\2026-4-19\Image_2026-4-19_Img0051.txt
2026-04-19T11:29:47.934,1,10,3970.000,4633.333,3954.296,4621.909,D:\Data\2026-4-19\Image_2026-4-19_Img0052.txt
2026-04-19T11:30:04.197,1,9,3970.000,4700.000,3953.831,4674.254,D:\Data\2026-4-19\Image_2026-4-19_Img0053.txt
2026-04-19T11:30:21.231,1,8,3970.000,4766.667,3953.791,4750.664,D:\Data\2026-4-19\Image_2026-4-19_Img0054.txt
2026-04-19T11:30:40.223,1,7,3970.000,4833.333,3952.963,4826.878,D:\Data\2026-4-19\Image_2026-4-19_Img0055.txt
2026-04-19T11:30:56.014,1,6,3970.000,4900.000,3953.477,4877.443,D:\Data\2026-4-19\Image_2026-4-19_Img0056.txt
2026-04-19T11:31:13.468,1,5,3970.000,4966.667,3953.878,4954.165,D:\Data\2026-4-19\Image_2026-4-19_Img0057.txt
2026-04-19T11:31:32.436,1,4,3970.000,5033.333,3953.121,5020.854,D:\Data\2026-4-19\Image_2026-4-19_Img0058.txt
2026-04-19T11:31:51.426,1,3,3970.000,5100.000,3954.189,5090.473,D:\Data\2026-4-19\Image_2026-4-19_Img0059.txt
2026-04-19T11:32:08.795,1,2,3970.000,5166.667,3953.603,5139.436,D:\Data\2026-4-19\Image_2026-4-19_Img0060.txt
2026-04-19T11:32:30.014,1,1,3970.000,5233.333,3954.884,5225.049,D:\Data\2026-4-19\Image_2026-4-19_Img0061.txt
