IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2770000000 1.058800e+03 
2.772000e+09 1.039700e+03 
2774000000 1.047200e+03 
2776000000 1.048700e+03 
2778000000 1.053150e+03 
2.780000e+09 1.058450e+03 
2782000000 1058 
2784000000 1.055900e+03 
2786000000 1.048250e+03 
2.788000e+09 1.045950e+03 
2790000000 1.060600e+03 
2792000000 1.051900e+03 
2794000000 1.063650e+03 
2.796000e+09 1.046950e+03 
2798000000 1.053650e+03 
2800000000 1.045800e+03 
2802000000 1.057850e+03 
2.804000e+09 1.056150e+03 
2806000000 1.054950e+03 
2808000000 1.058250e+03 
2810000000 1.069600e+03 
2.812000e+09 1.058900e+03 
2814000000 1.055850e+03 
2816000000 1.059500e+03 
2818000000 1.062200e+03 
2.820000e+09 1.047200e+03 
2822000000 1.043750e+03 
2824000000 1.046450e+03 
2826000000 1.063250e+03 
2.828000e+09 1.052150e+03 
2830000000 1.061100e+03 
2832000000 1058 
2834000000 1.049200e+03 
2.836000e+09 1.051350e+03 
2838000000 1.057050e+03 
2840000000 1.071700e+03 
2842000000 1.043750e+03 
2.844000e+09 1.057400e+03 
2846000000 1.048950e+03 
2848000000 1.044200e+03 
2850000000 1.034050e+03 
2852000000 1.036700e+03 
2854000000 1.032400e+03 
2.856000e+09 1.031600e+03 
2858000000 1.028800e+03 
2860000000 1.037400e+03 
2862000000 1.028400e+03 
2.864000e+09 1.035550e+03 
2866000000 1.031500e+03 
2868000000 1043 
2870000000 1.048200e+03 
2.872000e+09 1.040150e+03 
2874000000 1.036250e+03 
2876000000 1.030300e+03 
2878000000 1.023950e+03 
2.880000e+09 1.032950e+03 
2882000000 1.035200e+03 
2884000000 1.021200e+03 
2886000000 1.026050e+03 
2.888000e+09 1.038500e+03 
2890000000 1.049600e+03 
2892000000 1.046400e+03 
2894000000 1.042800e+03 
2896000000 1.063850e+03 
2898000000 1.044500e+03 
2.900000e+09 1.045700e+03 
2902000000 1.049900e+03 
2904000000 1.039700e+03 
2906000000 1.053950e+03 
2.908000e+09 1.060850e+03 
2910000000 1.064500e+03 
2912000000 1.059850e+03 
2914000000 1.051300e+03 
2.916000e+09 1.054550e+03 
2918000000 1.058100e+03 
2920000000 1.060700e+03 
2922000000 1.068250e+03 
2.924000e+09 1.044700e+03 
2926000000 1.066150e+03 
2928000000 1.051850e+03 
2930000000 1.054950e+03 
2.932000e+09 1.056200e+03 
2934000000 1.054850e+03 
2936000000 1.045850e+03 
2938000000 1.051650e+03 
2.940000e+09 1066 
2942000000 1.045150e+03 
2944000000 1.050550e+03 
2946000000 1.054400e+03 
2.948000e+09 1.047200e+03 
2950000000 1.047200e+03 
2952000000 1.046100e+03 
2954000000 1.061350e+03 
2.956000e+09 1054 
2958000000 1.053600e+03 
2960000000 1.046650e+03 
2962000000 1.059650e+03 
2.964000e+09 1.060350e+03 
2966000000 1.047200e+03 
2968000000 1.049750e+03 
2970000000 1.041750e+03 

END
