IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2770000000 1.044600e+03 
2.772000e+09 1.035200e+03 
2774000000 1.046250e+03 
2776000000 1.050300e+03 
2778000000 1.044250e+03 
2.780000e+09 1.040400e+03 
2782000000 1.050600e+03 
2784000000 1.038400e+03 
2786000000 1.046200e+03 
2.788000e+09 1033 
2790000000 1.037300e+03 
2792000000 1.032150e+03 
2794000000 1.035400e+03 
2.796000e+09 1.045550e+03 
2798000000 1.050500e+03 
2800000000 1.027650e+03 
2802000000 1.040550e+03 
2.804000e+09 1.036150e+03 
2806000000 1048 
2808000000 1.041250e+03 
2810000000 1.041100e+03 
2.812000e+09 1.039400e+03 
2814000000 1.037050e+03 
2816000000 1.043850e+03 
2818000000 1.055050e+03 
2.820000e+09 1.039050e+03 
2822000000 1.047500e+03 
2824000000 1.052350e+03 
2826000000 1.039600e+03 
2.828000e+09 1.053200e+03 
2830000000 1.030200e+03 
2832000000 1.048650e+03 
2834000000 1045 
2.836000e+09 1.034550e+03 
2838000000 1.051750e+03 
2840000000 1.044150e+03 
2842000000 1.030450e+03 
2.844000e+09 1.046900e+03 
2846000000 1.032350e+03 
2848000000 1.028150e+03 
2850000000 1.038150e+03 
2852000000 1.018850e+03 
2854000000 1.017800e+03 
2.856000e+09 1.040600e+03 
2858000000 1.020450e+03 
2860000000 1.024800e+03 
2862000000 1.025150e+03 
2.864000e+09 1.024200e+03 
2866000000 1.032050e+03 
2868000000 1.019600e+03 
2870000000 1.025100e+03 
2.872000e+09 1.038500e+03 
2874000000 1.026100e+03 
2876000000 1.012750e+03 
2878000000 1.025250e+03 
2.880000e+09 1.020300e+03 
2882000000 1.011300e+03 
2884000000 1.036150e+03 
2886000000 1.029900e+03 
2.888000e+09 1.032500e+03 
2890000000 1.037850e+03 
2892000000 1.031850e+03 
2894000000 1032 
2896000000 1.054100e+03 
2898000000 1033 
2.900000e+09 1.038300e+03 
2902000000 1.042150e+03 
2904000000 1.029200e+03 
2906000000 1.035300e+03 
2.908000e+09 1.040750e+03 
2910000000 1.020550e+03 
2912000000 1.027800e+03 
2914000000 1.036550e+03 
2.916000e+09 1.046050e+03 
2918000000 1.033650e+03 
2920000000 1.039450e+03 
2922000000 1.030300e+03 
2.924000e+09 1.039450e+03 
2926000000 1.048700e+03 
2928000000 1.052600e+03 
2930000000 1.040150e+03 
2.932000e+09 1.033850e+03 
2934000000 1.049850e+03 
2936000000 1.041250e+03 
2938000000 1.044600e+03 
2.940000e+09 1.037800e+03 
2942000000 1.043400e+03 
2944000000 1.036750e+03 
2946000000 1.037900e+03 
2.948000e+09 1.043100e+03 
2950000000 1.035250e+03 
2952000000 1.042700e+03 
2954000000 1046 
2.956000e+09 1.048900e+03 
2958000000 1.052800e+03 
2960000000 1.038250e+03 
2962000000 1.046600e+03 
2.964000e+09 1.046650e+03 
2966000000 1.026150e+03 
2968000000 1044 
2970000000 1030 

END
