IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2770000000 9.655500e+02 
2.772000e+09 9.557500e+02 
2774000000 9.594500e+02 
2776000000 9.522500e+02 
2778000000 9.613000e+02 
2.780000e+09 9.575500e+02 
2782000000 9.515000e+02 
2784000000 9.659000e+02 
2786000000 9.495500e+02 
2.788000e+09 9.552000e+02 
2790000000 9.490500e+02 
2792000000 9.515000e+02 
2794000000 9.419500e+02 
2.796000e+09 9.585000e+02 
2798000000 9.593500e+02 
2800000000 9.541500e+02 
2802000000 9.464500e+02 
2.804000e+09 960 
2806000000 9.707000e+02 
2808000000 9.667000e+02 
2810000000 9.527000e+02 
2.812000e+09 9.544000e+02 
2814000000 9.516000e+02 
2816000000 9.520500e+02 
2818000000 9.560500e+02 
2.820000e+09 9.731500e+02 
2822000000 9.612000e+02 
2824000000 9.617500e+02 
2826000000 9.612500e+02 
2.828000e+09 9.604500e+02 
2830000000 9.658000e+02 
2832000000 9.557500e+02 
2834000000 9.764000e+02 
2.836000e+09 9.686500e+02 
2838000000 9.552500e+02 
2840000000 9.607000e+02 
2842000000 9.711500e+02 
2.844000e+09 9.520500e+02 
2846000000 9.598500e+02 
2848000000 9.581000e+02 
2850000000 9.653500e+02 
2852000000 9.696000e+02 
2854000000 9.626000e+02 
2.856000e+09 9.518500e+02 
2858000000 9.641500e+02 
2860000000 9.502500e+02 
2862000000 9.489000e+02 
2.864000e+09 9.463000e+02 
2866000000 9.554000e+02 
2868000000 952 
2870000000 9.585500e+02 
2.872000e+09 9.359500e+02 
2874000000 9.537500e+02 
2876000000 9.519000e+02 
2878000000 9.729000e+02 
2.880000e+09 9.605500e+02 
2882000000 9.565000e+02 
2884000000 9.483000e+02 
2886000000 9.567000e+02 
2.888000e+09 9.481500e+02 
2890000000 9.508000e+02 
2892000000 9.578500e+02 
2894000000 9.546000e+02 
2896000000 9.624500e+02 
2898000000 9.618500e+02 
2.900000e+09 9.641000e+02 
2902000000 9.506500e+02 
2904000000 9.686500e+02 
2906000000 9.526500e+02 
2.908000e+09 9.608500e+02 
2910000000 9.642500e+02 
2912000000 9.585500e+02 
2914000000 9.748500e+02 
2.916000e+09 9.614000e+02 
2918000000 9.589000e+02 
2920000000 9.655000e+02 
2922000000 9.562000e+02 
2.924000e+09 9.485500e+02 
2926000000 9.612000e+02 
2928000000 9.559000e+02 
2930000000 9.607500e+02 
2.932000e+09 9.530500e+02 
2934000000 9.518500e+02 
2936000000 9.521500e+02 
2938000000 9.562500e+02 
2.940000e+09 9.648500e+02 
2942000000 9.631500e+02 
2944000000 9.498000e+02 
2946000000 9.527500e+02 
2.948000e+09 9.507000e+02 
2950000000 9.432500e+02 
2952000000 9.384000e+02 
2954000000 9.594000e+02 
2.956000e+09 9.448000e+02 
2958000000 9.572500e+02 
2960000000 9.637500e+02 
2962000000 9.508000e+02 
2.964000e+09 9.514500e+02 
2966000000 9.718000e+02 
2968000000 9.569500e+02 
2970000000 9.633500e+02 

END
