DateTime	A	1
30-Mar-2021 00:05:59	79.968	27.7
30-Mar-2021 00:06:04	80.047	26.3
30-Mar-2021 00:06:09	80.035	26.4
30-Mar-2021 00:06:14	79.953	27.8
30-Mar-2021 00:06:19	79.961	27.9
30-Mar-2021 00:06:24	80.043	26.5
30-Mar-2021 00:06:29	80.041	26.5
30-Mar-2021 00:06:34	79.966	27.7
30-Mar-2021 00:06:39	79.964	27.8
30-Mar-2021 00:06:44	80.016	26.5
30-Mar-2021 00:06:49	80.055	26.2
30-Mar-2021 00:06:54	79.977	27.7
30-Mar-2021 00:06:59	79.966	27.8
30-Mar-2021 00:07:04	79.972	27.6
30-Mar-2021 00:07:09	80.056	26.2
30-Mar-2021 00:07:14	80.018	27.6
30-Mar-2021 00:07:19	79.957	27.8
30-Mar-2021 00:07:24	79.974	27.6
30-Mar-2021 00:07:29	80.048	26.3
30-Mar-2021 00:07:34	80.037	26.4
30-Mar-2021 00:07:39	79.952	27.9
30-Mar-2021 00:07:44	79.969	27.7
30-Mar-2021 00:07:49	80.046	26.3
30-Mar-2021 00:07:54	80.039	26.4
30-Mar-2021 00:07:59	79.955	27.8
30-Mar-2021 00:08:04	79.96	27.9
30-Mar-2021 00:08:09	80.03	26.4
30-Mar-2021 00:08:14	80.052	26.3
30-Mar-2021 00:08:19	79.975	27.6
30-Mar-2021 00:08:24	79.958	27.9
30-Mar-2021 00:08:29	79.962	27.9
30-Mar-2021 00:08:34	79.985	27.6
30-Mar-2021 00:08:39	79.992	27.5
30-Mar-2021 00:08:44	80.001	27.4
30-Mar-2021 00:08:49	80.001	27.5
30-Mar-2021 00:08:54	79.999	27.4
30-Mar-2021 00:08:59	80.069	26
30-Mar-2021 00:09:04	80.005	27.4
30-Mar-2021 00:09:09	79.978	27.4
30-Mar-2021 00:09:14	79.978	27.4
30-Mar-2021 00:09:19	80.048	26.1
30-Mar-2021 00:09:24	80.031	26.4
30-Mar-2021 00:09:29	79.948	27.8
30-Mar-2021 00:09:34	79.957	27.8
30-Mar-2021 00:09:39	80.039	26.5
30-Mar-2021 00:09:44	80.035	26.5
30-Mar-2021 00:09:49	79.949	27.9
30-Mar-2021 00:09:54	79.958	27.9
30-Mar-2021 00:09:59	80.032	26.6
30-Mar-2021 00:10:04	80.039	26.6
30-Mar-2021 00:10:09	79.972	27.7
30-Mar-2021 00:10:14	79.967	27.8
30-Mar-2021 00:10:19	79.982	27.6
30-Mar-2021 00:10:24	80.045	26.4
30-Mar-2021 00:10:29	80.002	27.7
30-Mar-2021 00:10:34	79.961	27.8
30-Mar-2021 00:10:39	79.969	27.7
30-Mar-2021 00:10:44	80.048	26.3
30-Mar-2021 00:10:49	80.042	26.3
30-Mar-2021 00:10:54	79.961	27.7
30-Mar-2021 00:10:59	79.967	27.8
30-Mar-2021 00:11:04	80.048	26.3
