index,targetBkG,bEstimateG,v21StartedAt,mode
1,0.28,280,"2026-02-20 01:39:19.820","persistent"
2,0.3,300,"2026-02-20 05:47:05.782","persistent"
3,0.32,320,"2026-02-20 08:22:11.957","persistent"
4,0.34,340,"2026-02-20 10:40:04.819","persistent"
5,0.36,360,"2026-02-20 12:35:33.591","persistent"
