IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.195175e+03 
2.572150e+09 8.181350e+03 
2574300000 8.187525e+03 
2576450000 8.198575e+03 
2578600000 8.170200e+03 
2.580750e+09 8.181025e+03 
2582900000 8.180575e+03 
2585050000 8.179700e+03 
2.587200e+09 8.187175e+03 
2589350000 8.174350e+03 
2591500000 8.169150e+03 
2593650000 8.164800e+03 
2.595800e+09 8.176025e+03 
2597950000 8.181150e+03 
2600100000 8.190850e+03 
2.602250e+09 8.185175e+03 
2604400000 8.189025e+03 
2606550000 8.168775e+03 
2608700000 8.185550e+03 
2.610850e+09 8.175775e+03 
2613000000 8.190600e+03 
2615150000 8.186525e+03 
2.617300e+09 8.194525e+03 
2619450000 8.199675e+03 
2621600000 8.176075e+03 
2623750000 8.185125e+03 
2.625900e+09 8.154500e+03 
2628050000 8.172025e+03 
2630200000 8170 
2.632350e+09 8.152775e+03 
2634500000 8155 
2636650000 8.132925e+03 
2638800000 8.124050e+03 
2.640950e+09 8.126925e+03 
2643100000 8.139875e+03 
2645250000 8.132375e+03 
2.647400e+09 8.153800e+03 
2649550000 8.154600e+03 
2651700000 8.175725e+03 
2653850000 8.203250e+03 
2.656000e+09 8.176100e+03 
2658150000 8.173400e+03 
2660300000 8.164050e+03 
2.662450e+09 8.160300e+03 
2664600000 8.131525e+03 
2666750000 8.141100e+03 
2668900000 8.124975e+03 
2.671050e+09 8.105400e+03 
2673200000 8.098625e+03 
2675350000 8.135775e+03 
2677500000 8.135525e+03 
2679650000 8.171825e+03 
2681800000 8.189725e+03 
2683950000 8.185200e+03 
2.686100e+09 8.171500e+03 
2688250000 8.178550e+03 
2690400000 8.172525e+03 
2692550000 8.181125e+03 
2694700000 8.173875e+03 
2696850000 8.185400e+03 
2699000000 8.130750e+03 
2.701150e+09 8.131875e+03 
2703300000 8.121850e+03 
2705450000 8.127400e+03 
2707600000 8.107675e+03 
2.709750e+09 8.111825e+03 
2711900000 8.109150e+03 
2714050000 8.139125e+03 
2.716200e+09 8.141450e+03 
2718350000 8.176875e+03 
2720500000 8.150150e+03 
2722650000 8.185975e+03 
2724800000 8184 
2726950000 8.164700e+03 
2729100000 8.180300e+03 
2.731250e+09 8.180200e+03 
2733400000 8.142550e+03 
2735550000 8.151175e+03 
2737700000 8.176600e+03 
2.739850e+09 8.156225e+03 
2742000000 8.155450e+03 
2744150000 8.159075e+03 
2.746300e+09 8.182100e+03 
2748450000 8.171025e+03 
2750600000 8.164625e+03 
2752750000 8.153975e+03 
2754900000 8.189150e+03 
2757050000 8.207225e+03 
2759200000 8.186400e+03 
2.761350e+09 8.180325e+03 
2763500000 8.187250e+03 
2765650000 8.186850e+03 
2767800000 8.170325e+03 
2.769950e+09 8.189025e+03 
2772100000 8.195075e+03 
2774250000 8.177950e+03 
2.776400e+09 8.184050e+03 
2778550000 8.191675e+03 
2780700000 8.207250e+03 
2782850000 8.188875e+03 
2785000000 8.173900e+03 
2787150000 8189 
2789300000 8.191950e+03 
2791450000 8.197075e+03 
2793600000 8.187300e+03 
2795750000 8.196100e+03 
2797900000 8.199275e+03 
2.800050e+09 8.175500e+03 
2802200000 8.181575e+03 
2804350000 8.182200e+03 
2806500000 8.200200e+03 
2808650000 8185 
2810800000 8.172850e+03 
2812950000 8.181900e+03 
2815100000 8.156250e+03 
2817250000 8.179525e+03 
2819400000 8.188950e+03 
2821550000 8.171025e+03 
2823700000 8.183525e+03 
2825850000 8.200025e+03 
2828000000 8.189900e+03 
2.830150e+09 8.207725e+03 
2832300000 8.196750e+03 
2834450000 8.154250e+03 
2836600000 8.194650e+03 
2838750000 8.199875e+03 
2840900000 8.161625e+03 
2843050000 8172 
2845200000 8.197375e+03 
2847350000 8.173375e+03 
2849500000 8.184575e+03 
2851650000 8.195475e+03 
2853800000 8.165500e+03 
2855950000 8.180425e+03 
2858100000 8.164450e+03 
2.860250e+09 8.193575e+03 
2862400000 8195 
2864550000 8.203600e+03 
2866700000 8.200500e+03 
2868850000 8.177550e+03 
2871000000 8.203475e+03 
2873150000 8.176525e+03 
2875300000 8.197850e+03 
2877450000 8.175375e+03 
2879600000 8.176250e+03 
2881750000 8.201100e+03 
2883900000 8.202050e+03 
2886050000 8.191500e+03 
2888200000 8194 
2.890350e+09 8.203900e+03 
2892500000 8.198650e+03 
2894650000 8.180325e+03 
2896800000 8.201600e+03 
2898950000 8.183175e+03 
2901100000 8.180975e+03 
2903250000 8.183600e+03 
2905400000 8.180650e+03 
2907550000 8.194375e+03 
2909700000 8.185950e+03 
2911850000 8.176475e+03 
2914000000 8.173775e+03 
2916150000 8.210250e+03 
2918300000 8.192425e+03 
2920450000 8.188650e+03 
2922600000 8.200500e+03 
2924750000 8.213250e+03 
2926900000 8.198600e+03 
2929050000 8.183450e+03 
2931200000 8.188200e+03 
2933350000 8.185125e+03 
2935500000 8.193175e+03 
2937650000 8.205100e+03 
2939800000 8.201875e+03 
2941950000 8.172875e+03 
2.944100e+09 8.207575e+03 
2946250000 8.180950e+03 
2948400000 8.204275e+03 
2950550000 8.190125e+03 
2952700000 8.188825e+03 
2954850000 8.173700e+03 
2957000000 8.192375e+03 
2959150000 8.182900e+03 
2961300000 8.187875e+03 
2963450000 8.194600e+03 
2965600000 8.194575e+03 
2967750000 8.209025e+03 
2969900000 8.207475e+03 
2972050000 8.190200e+03 
2974200000 8.193550e+03 
2976350000 8.188650e+03 
2978500000 8.189375e+03 
2980650000 8.195725e+03 
2982800000 8.195425e+03 
2984950000 8.184075e+03 
2987100000 8.179100e+03 
2989250000 8.194050e+03 
2991400000 8.188275e+03 
2993550000 8.207475e+03 
2995700000 8.196900e+03 
2997850000 8.173375e+03 
3000000000 8.190650e+03 

END
