IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 7.991050e+03 
2.572150e+09 7.988725e+03 
2574300000 7.985250e+03 
2576450000 7.984150e+03 
2578600000 8.004475e+03 
2.580750e+09 8.006475e+03 
2582900000 7.988475e+03 
2585050000 7.970925e+03 
2.587200e+09 7.972625e+03 
2589350000 7.989975e+03 
2591500000 8.004425e+03 
2593650000 7.989375e+03 
2.595800e+09 7.990825e+03 
2597950000 7.981575e+03 
2600100000 7.981475e+03 
2.602250e+09 7.977425e+03 
2604400000 7.998300e+03 
2606550000 7.986025e+03 
2608700000 7.995600e+03 
2.610850e+09 7.975500e+03 
2613000000 7.991250e+03 
2615150000 7.978550e+03 
2.617300e+09 8.015625e+03 
2619450000 7.964425e+03 
2621600000 7.984100e+03 
2623750000 7.971050e+03 
2.625900e+09 7.974700e+03 
2628050000 7.980350e+03 
2630200000 7.963125e+03 
2.632350e+09 7.954125e+03 
2634500000 7.944400e+03 
2636650000 7.944625e+03 
2638800000 7.935200e+03 
2.640950e+09 7.946075e+03 
2643100000 7.959975e+03 
2645250000 7.972775e+03 
2.647400e+09 7.971850e+03 
2649550000 7.991350e+03 
2651700000 8.001925e+03 
2653850000 7.993175e+03 
2.656000e+09 7.969750e+03 
2658150000 7.984100e+03 
2660300000 7.954975e+03 
2.662450e+09 7.960400e+03 
2664600000 7.942450e+03 
2666750000 7.920525e+03 
2668900000 7.916175e+03 
2.671050e+09 7.963200e+03 
2673200000 7.949850e+03 
2675350000 7.979450e+03 
2677500000 7.964475e+03 
2679650000 7.983550e+03 
2681800000 7.979400e+03 
2683950000 8.021750e+03 
2.686100e+09 7.998775e+03 
2688250000 7.983700e+03 
2690400000 7.976200e+03 
2692550000 8.020900e+03 
2694700000 7.984700e+03 
2696850000 7972 
2699000000 7.948875e+03 
2.701150e+09 7.932800e+03 
2703300000 7.923825e+03 
2705450000 7.921125e+03 
2707600000 7.926975e+03 
2.709750e+09 7.928650e+03 
2711900000 7.897950e+03 
2714050000 7.943075e+03 
2.716200e+09 7.947225e+03 
2718350000 7.977375e+03 
2720500000 7.952650e+03 
2722650000 7.993525e+03 
2724800000 7.960450e+03 
2726950000 7.985200e+03 
2729100000 7.967925e+03 
2.731250e+09 7.988450e+03 
2733400000 7.941825e+03 
2735550000 7.987750e+03 
2737700000 7.937775e+03 
2.739850e+09 7.952800e+03 
2742000000 7.937225e+03 
2744150000 7.934025e+03 
2.746300e+09 7.958950e+03 
2748450000 7.999525e+03 
2750600000 7.952350e+03 
2752750000 7.989825e+03 
2754900000 7.975250e+03 
2757050000 7.973075e+03 
2759200000 7.977325e+03 
2.761350e+09 7.964075e+03 
2763500000 7.979025e+03 
2765650000 7.968475e+03 
2767800000 7.990950e+03 
2.769950e+09 8.009625e+03 
2772100000 8.027625e+03 
2774250000 7.974850e+03 
2.776400e+09 7.978575e+03 
2778550000 7.975225e+03 
2780700000 7.989175e+03 
