IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 8.254950e+03 
2.572150e+09 8.249450e+03 
2574300000 8.235300e+03 
2576450000 8.258125e+03 
2578600000 8.257600e+03 
2.580750e+09 8.279575e+03 
2582900000 8.254725e+03 
2585050000 8.240700e+03 
2.587200e+09 8.247050e+03 
2589350000 8.251225e+03 
2591500000 8.247300e+03 
2593650000 8.253150e+03 
2.595800e+09 8.269800e+03 
2597950000 8.244750e+03 
2600100000 8.241650e+03 
2.602250e+09 8.233750e+03 
2604400000 8.222300e+03 
2606550000 8254 
2608700000 8.258025e+03 
2.610850e+09 8.260025e+03 
2613000000 8.228200e+03 
2615150000 8.256325e+03 
2.617300e+09 8.252100e+03 
2619450000 8.261450e+03 
2621600000 8.226750e+03 
2623750000 8.233975e+03 
2.625900e+09 8.224900e+03 
2628050000 8.228900e+03 
2630200000 8.218825e+03 
2.632350e+09 8.212600e+03 
2634500000 8.199800e+03 
2636650000 8.210375e+03 
2638800000 8209 
2.640950e+09 8.213800e+03 
2643100000 8.204475e+03 
2645250000 8.229550e+03 
2.647400e+09 8215 
2649550000 8.213300e+03 
2651700000 8.211625e+03 
2653850000 8.256625e+03 
2.656000e+09 8.265125e+03 
2658150000 8.248350e+03 
2660300000 8.218150e+03 
2.662450e+09 8.213550e+03 
2664600000 8.199575e+03 
2666750000 8.166250e+03 
2668900000 8.162225e+03 
2.671050e+09 8.160150e+03 
2673200000 8.183225e+03 
2675350000 8.177875e+03 
2677500000 8.181225e+03 
2679650000 8.211800e+03 
2681800000 8.224975e+03 
2683950000 8.220525e+03 
2.686100e+09 8.238025e+03 
2688250000 8.221775e+03 
2690400000 8.249875e+03 
2692550000 8.235950e+03 
2694700000 8.221300e+03 
2696850000 8.236325e+03 
2699000000 8.217875e+03 
2.701150e+09 8.186075e+03 
2703300000 8.191700e+03 
2705450000 8.184950e+03 
2707600000 8.184650e+03 
2.709750e+09 8.162200e+03 
2711900000 8.164925e+03 
