IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 7.950750e+03 
2.572150e+09 7.939375e+03 
2574300000 7.947700e+03 
2576450000 7.944550e+03 
2578600000 7.955250e+03 
2.580750e+09 7.932125e+03 
2582900000 7.962125e+03 
2585050000 7.936675e+03 
2.587200e+09 7.957725e+03 
2589350000 7.941325e+03 
2591500000 7.928925e+03 
2593650000 7.923875e+03 
2.595800e+09 7.929025e+03 
2597950000 7.932700e+03 
2600100000 7.935575e+03 
2.602250e+09 7.949350e+03 
2604400000 7.951150e+03 
2606550000 7.950775e+03 
2608700000 7.954675e+03 
2.610850e+09 7.952400e+03 
2613000000 7.954900e+03 
2615150000 7.936650e+03 
2.617300e+09 7.954400e+03 
2619450000 7.930475e+03 
2621600000 7.944100e+03 
2623750000 7.944400e+03 
2.625900e+09 7.906150e+03 
2628050000 7.944550e+03 
2630200000 7.922225e+03 
2.632350e+09 7.927875e+03 
2634500000 7.911750e+03 
2636650000 7.916225e+03 
2638800000 7.897525e+03 
2.640950e+09 7.893250e+03 
2643100000 7.881800e+03 
2645250000 7.904825e+03 
2.647400e+09 7.896600e+03 
2649550000 7.940425e+03 
2651700000 7.935225e+03 
2653850000 7.929150e+03 
2.656000e+09 7.935425e+03 
2658150000 7.923750e+03 
2660300000 7.945900e+03 
2.662450e+09 7.899225e+03 
2664600000 7.901125e+03 
2666750000 7.876325e+03 
2668900000 7.881775e+03 
2.671050e+09 7.869250e+03 
2673200000 7.874275e+03 
2675350000 7.883525e+03 
2677500000 7.913325e+03 
2679650000 7.939900e+03 
2681800000 7.923450e+03 
2683950000 7.928975e+03 
2.686100e+09 7.941700e+03 
2688250000 7.933225e+03 
2690400000 7.940375e+03 
2692550000 7.939275e+03 
2694700000 7.930475e+03 
2696850000 7.916550e+03 
2699000000 7.907750e+03 
2.701150e+09 7900 
2703300000 7.869950e+03 
2705450000 7.904300e+03 
2707600000 7.873150e+03 
2.709750e+09 7.877675e+03 
2711900000 7.897300e+03 
2714050000 7.885800e+03 
2.716200e+09 7902 
2718350000 7.928150e+03 
2720500000 7.935550e+03 
2722650000 7.933250e+03 
2724800000 7.935075e+03 
2726950000 7.955825e+03 
2729100000 7.936900e+03 
2.731250e+09 7.909425e+03 
2733400000 7.927025e+03 
2735550000 7.909275e+03 
2737700000 7.901975e+03 
2.739850e+09 7.895350e+03 
2742000000 7.932700e+03 
2744150000 7.899350e+03 
2.746300e+09 7.924900e+03 
2748450000 7.934150e+03 
2750600000 7.927675e+03 
2752750000 7.944250e+03 
2754900000 7.959250e+03 
2757050000 7.933025e+03 
2759200000 7.952150e+03 
2.761350e+09 7.939200e+03 
2763500000 7.953775e+03 
2765650000 7.939325e+03 
2767800000 7.940500e+03 
2.769950e+09 7.932125e+03 
2772100000 7.969725e+03 
2774250000 7.938975e+03 
2.776400e+09 7.955650e+03 
2778550000 7.948825e+03 
2780700000 7.929050e+03 
2782850000 7.932850e+03 
2785000000 7.949800e+03 
2787150000 7.923750e+03 
2789300000 7.953400e+03 
2791450000 7.943925e+03 
2793600000 7.953200e+03 
2795750000 7.958675e+03 
2797900000 7945 
2.800050e+09 7.959700e+03 
2802200000 7.943700e+03 
2804350000 7.931150e+03 
2806500000 7.939250e+03 
2808650000 7.940350e+03 
2810800000 7.939275e+03 
2812950000 7.947150e+03 
2815100000 7.951600e+03 
2817250000 7.926850e+03 
2819400000 7.935425e+03 
2821550000 7.960200e+03 
2823700000 7.938250e+03 
2825850000 7.951425e+03 
2828000000 7.926800e+03 
2.830150e+09 7.905125e+03 
2832300000 7.921650e+03 
2834450000 7.919400e+03 
2836600000 7.933150e+03 
2838750000 7.916475e+03 
2840900000 7.947175e+03 
2843050000 7.938200e+03 
2845200000 7.933975e+03 
2847350000 7.922175e+03 
2849500000 7.962225e+03 
2851650000 7.926075e+03 
2853800000 7.929150e+03 
2855950000 7.941925e+03 
2858100000 7.924550e+03 
2.860250e+09 7.944750e+03 
2862400000 7.922925e+03 
2864550000 7.933150e+03 
2866700000 7.943500e+03 
2868850000 7.923325e+03 
2871000000 7.933775e+03 
2873150000 7.965075e+03 
2875300000 7943 
2877450000 7.947750e+03 
2879600000 7.939050e+03 
2881750000 7.932825e+03 
2883900000 7.952150e+03 
2886050000 7.948725e+03 
2888200000 7.946050e+03 
2.890350e+09 7.928550e+03 
2892500000 7.918175e+03 
2894650000 7.920450e+03 
2896800000 7.948325e+03 
2898950000 7.962675e+03 
2901100000 7.959450e+03 
2903250000 7.907525e+03 
2905400000 7.929825e+03 
2907550000 7.936675e+03 
2909700000 7.934100e+03 
2911850000 7.935900e+03 
2914000000 7.932575e+03 
2916150000 7.949125e+03 
2918300000 7.933300e+03 
2920450000 7.941275e+03 
2922600000 7.930050e+03 
2924750000 7.932875e+03 
2926900000 7.939250e+03 
2929050000 7.911850e+03 
2931200000 7.918750e+03 
2933350000 7.939525e+03 
2935500000 7.952100e+03 
2937650000 7.932425e+03 
2939800000 7.938475e+03 
2941950000 7.928175e+03 
2.944100e+09 7.918600e+03 
2946250000 7.913325e+03 
2948400000 7.925275e+03 
2950550000 7.941325e+03 
2952700000 7.921050e+03 
2954850000 7960 
2957000000 7.944975e+03 
2959150000 7.941925e+03 
2961300000 7.978850e+03 
2963450000 7.924600e+03 
2965600000 7.927375e+03 
2967750000 7.923850e+03 
2969900000 7.917300e+03 
2972050000 7.936725e+03 
2974200000 7.951575e+03 
2976350000 7.932350e+03 
2978500000 7.954275e+03 
2980650000 7.934050e+03 
2982800000 7.930975e+03 
2984950000 7956 
2987100000 7.918500e+03 
2989250000 7.923475e+03 
2991400000 7.934650e+03 
2993550000 7.927900e+03 
2995700000 7.930150e+03 
2997850000 7.925925e+03 
3000000000 7.936650e+03 

END
