IGOR
WAVES/D/O sweep,sig(1) 
BEGIN
2570000000 7.883450e+03 
2.572150e+09 7.864475e+03 
2574300000 7.906725e+03 
2576450000 7.907575e+03 
2578600000 7.868600e+03 
2.580750e+09 7.859300e+03 
2582900000 7.865900e+03 
2585050000 7.859925e+03 
2.587200e+09 7.875725e+03 
2589350000 7.859525e+03 
2591500000 7.873800e+03 
2593650000 7.849450e+03 
2.595800e+09 7.863250e+03 
2597950000 7.904450e+03 
2600100000 7.894925e+03 
2.602250e+09 7.875350e+03 
2604400000 7.862825e+03 
2606550000 7.867525e+03 
2608700000 7.867175e+03 
2.610850e+09 7.865450e+03 
2613000000 7.893375e+03 
2615150000 7882 
2.617300e+09 7.859375e+03 
2619450000 7.867500e+03 
2621600000 7.871325e+03 
2623750000 7.849500e+03 
2.625900e+09 7.908500e+03 
2628050000 7.894275e+03 
2630200000 7.896625e+03 
2.632350e+09 7.904125e+03 
2634500000 7.905625e+03 
2636650000 7.876175e+03 
2638800000 7.880100e+03 
2.640950e+09 7.868250e+03 
2643100000 7.869525e+03 
2645250000 7.890100e+03 
2.647400e+09 7.895950e+03 
2649550000 7.885125e+03 
2651700000 7.873400e+03 
2653850000 7.911350e+03 
2.656000e+09 7.869925e+03 
2658150000 7.871275e+03 
2660300000 7.879375e+03 
2.662450e+09 7.905725e+03 
2664600000 7873 
2666750000 7.850150e+03 
2668900000 7.889850e+03 
2.671050e+09 7.887150e+03 
2673200000 7.854750e+03 
2675350000 7.840400e+03 
2677500000 7.881800e+03 
2679650000 7.883250e+03 
2681800000 7.880900e+03 
2683950000 7896 
2.686100e+09 7.873550e+03 
2688250000 7.912700e+03 
2690400000 7.889925e+03 
2692550000 7.878400e+03 
2694700000 7.868825e+03 
2696850000 7.860350e+03 
2699000000 7.861200e+03 
2.701150e+09 7.876150e+03 
2703300000 7.838925e+03 
2705450000 7.875675e+03 
2707600000 7.868950e+03 
2.709750e+09 7.881275e+03 
2711900000 7.881275e+03 
2714050000 7.855475e+03 
2.716200e+09 7.872275e+03 
2718350000 7.877525e+03 
2720500000 7.870400e+03 
2722650000 7.849475e+03 
2724800000 7.878025e+03 
2726950000 7.884750e+03 
2729100000 7.860200e+03 
2.731250e+09 7.859925e+03 
2733400000 7.890025e+03 
2735550000 7.866875e+03 
2737700000 7.846650e+03 
2.739850e+09 7.872975e+03 
2742000000 7.856100e+03 
2744150000 7.881375e+03 
2.746300e+09 7.836575e+03 
2748450000 7.877250e+03 
2750600000 7.893350e+03 
2752750000 7.903675e+03 
2754900000 7.848725e+03 
2757050000 7.881575e+03 
2759200000 7.893250e+03 
2.761350e+09 7.873325e+03 
2763500000 7.870375e+03 
2765650000 7.850450e+03 
2767800000 7.867550e+03 
2.769950e+09 7.842275e+03 
2772100000 7868 
2774250000 7.857250e+03 
2.776400e+09 7.866575e+03 
2778550000 7.823350e+03 
2780700000 7.813975e+03 
2782850000 7810 
2785000000 7.769400e+03 
2787150000 7.724275e+03 
2789300000 7.712025e+03 
2791450000 7.702825e+03 
2793600000 7.684125e+03 
2795750000 7.693600e+03 
2797900000 7.686875e+03 
2.800050e+09 7.706300e+03 
2802200000 7.706150e+03 
2804350000 7.751125e+03 
2806500000 7.776375e+03 
2808650000 7.775300e+03 
2810800000 7.820975e+03 
2812950000 7.844275e+03 
2815100000 7.851150e+03 
2817250000 7.847425e+03 
2819400000 7.863800e+03 
2821550000 7.865900e+03 
2823700000 7.869450e+03 
2825850000 7.884800e+03 
2828000000 7.852800e+03 
2.830150e+09 7.904825e+03 
2832300000 7.868675e+03 
2834450000 7.904100e+03 
2836600000 7.882475e+03 
2838750000 7.877625e+03 
2840900000 7.864350e+03 
2843050000 7.864375e+03 
2845200000 7.896625e+03 
2847350000 7.865975e+03 
2849500000 7.875050e+03 
2851650000 7.871250e+03 
2853800000 7.854450e+03 
2855950000 7.848550e+03 
2858100000 7.861200e+03 
2.860250e+09 7.835825e+03 
2862400000 7.853675e+03 
2864550000 7.853875e+03 
2866700000 7.858325e+03 
2868850000 7.848375e+03 
2871000000 7.884050e+03 
2873150000 7.866600e+03 
2875300000 7.866400e+03 
2877450000 7.880350e+03 
2879600000 7.871150e+03 
2881750000 7.881875e+03 
2883900000 7.855500e+03 
2886050000 7.857150e+03 
2888200000 7.864325e+03 
2.890350e+09 7.874225e+03 
2892500000 7876 
2894650000 7.865875e+03 
2896800000 7.873525e+03 
2898950000 7.878650e+03 
2901100000 7.856525e+03 
2903250000 7.861875e+03 
2905400000 7.867375e+03 
2907550000 7.893300e+03 
2909700000 7.835175e+03 
2911850000 7.867075e+03 
2914000000 7.841800e+03 
2916150000 7.849175e+03 
2918300000 7.854325e+03 
2920450000 7.848025e+03 
2922600000 7.871450e+03 
2924750000 7.862775e+03 
2926900000 7.893575e+03 
2929050000 7.833550e+03 
2931200000 7.887750e+03 
2933350000 7.834350e+03 
2935500000 7.854050e+03 
2937650000 7.856475e+03 
2939800000 7.865600e+03 
2941950000 7.851100e+03 
2.944100e+09 7.844125e+03 
2946250000 7.825550e+03 
2948400000 7.818050e+03 
2950550000 7.762050e+03 
2952700000 7.750400e+03 
2954850000 7.718500e+03 
2957000000 7.678275e+03 
2959150000 7.689625e+03 
2961300000 7.654850e+03 
2963450000 7.632775e+03 
2965600000 7.689850e+03 
2967750000 7.732525e+03 
2969900000 7.723750e+03 
2972050000 7767 
2974200000 7.796075e+03 
2976350000 7.822025e+03 
2978500000 7.843225e+03 
2980650000 7.860175e+03 
2982800000 7.848300e+03 
2984950000 7.875125e+03 
2987100000 7.852525e+03 
2989250000 7.886925e+03 
2991400000 7.888125e+03 
2993550000 7.877075e+03 
2995700000 7.887200e+03 
2997850000 7.892125e+03 
3000000000 7.891175e+03 

END
